label,text,event_type
1,Knife slice dough.,"{'sen_id': 66, 'sentence': 'Knife slice dough.', 'predicted_mentions': [{'sentence_offset': [6, 11], 'trigger_words': 'slice', 'trigger_confidence': 0.5959252715110779, 'event_type': {'xpo_node': 'DWD_Q7996942', 'name': 'whittling', 'description': 'art of carving shapes out of raw wood using a knife'}, 'event_confidence': 0.6590877771377563}]}"
1,Spatula mince paper.,"{'sen_id': 67, 'sentence': 'Spatula mince paper.', 'predicted_mentions': []}"
1,Sword hurt leg.,"{'sen_id': 68, 'sentence': 'Sword hurt leg.', 'predicted_mentions': []}"
1,Child slide cup.,"{'sen_id': 69, 'sentence': 'Child slide cup.', 'predicted_mentions': []}"
1,Freezer cool oil.,"{'sen_id': 70, 'sentence': 'Freezer cool oil.', 'predicted_mentions': []}"
1,Man pack purse.,"{'sen_id': 71, 'sentence': 'Man pack purse.', 'predicted_mentions': []}"
0,Cup pour cloud.,"{'sen_id': 72, 'sentence': 'Cup pour cloud.', 'predicted_mentions': []}"
0,Barber pack ship.,"{'sen_id': 73, 'sentence': 'Barber pack ship.', 'predicted_mentions': []}"
0,Book cool table.,"{'sen_id': 74, 'sentence': 'Book cool table.', 'predicted_mentions': []}"
0,Ant clench closet.,"{'sen_id': 75, 'sentence': 'Ant clench closet.', 'predicted_mentions': []}"
1,Cat bite turtle.,"{'sen_id': 76, 'sentence': 'Cat bite turtle.', 'predicted_mentions': [{'sentence_offset': [4, 8], 'trigger_words': 'bite', 'trigger_confidence': 0.8763543963432312, 'event_type': {'xpo_node': 'DWD_Q4918888', 'name': 'biting', 'description': 'behaviour of opening and closing the jaw found in many animals'}, 'event_confidence': 0.940229594707489}]}"
1,Hands dig dirt.,"{'sen_id': 77, 'sentence': 'Hands dig dirt.', 'predicted_mentions': [{'sentence_offset': [6, 9], 'trigger_words': 'dig', 'trigger_confidence': 0.972828209400177, 'event_type': {'xpo_node': 'DWD_Q4232202', 'name': 'digging', 'description': 'process of removing material from a solid surface'}, 'event_confidence': 0.9420763850212097}]}"
1,Rock slam table.,"{'sen_id': 78, 'sentence': 'Rock slam table.', 'predicted_mentions': []}"
1,Hand grasp handle.,"{'sen_id': 79, 'sentence': 'Hand grasp handle.', 'predicted_mentions': [{'sentence_offset': [5, 10], 'trigger_words': 'grasp', 'trigger_confidence': 0.6859773993492126, 'event_type': {'xpo_node': 'DWD_Q99194088', 'name': 'information_handling', 'description': 'human activity related to the collection and manipulation of communicated knowledge'}, 'event_confidence': 0.9628326296806335}]}"
0,Mole bury rain.,"{'sen_id': 80, 'sentence': 'Mole bury rain.', 'predicted_mentions': [{'sentence_offset': [5, 9], 'trigger_words': 'bury', 'trigger_confidence': 0.9735568761825562, 'event_type': {'xpo_node': 'DWD_Q4232202', 'name': 'digging', 'description': 'process of removing material from a solid surface'}, 'event_confidence': 0.8916450142860413}]}"
0,Glue fuse water.,"{'sen_id': 81, 'sentence': 'Glue fuse water.', 'predicted_mentions': [{'sentence_offset': [5, 9], 'trigger_words': 'fuse', 'trigger_confidence': 0.5427167415618896, 'event_type': {'xpo_node': 'DWD_Q504635', 'name': 'crossover', 'description': 'term applied to musical works or performers combining two or more genres'}, 'event_confidence': 0.9816638231277466}]}"
0,Feather attack air.,"{'sen_id': 82, 'sentence': 'Feather attack air.', 'predicted_mentions': []}"
1,Monkey grasp cup.,"{'sen_id': 83, 'sentence': 'Monkey grasp cup.', 'predicted_mentions': [{'sentence_offset': [7, 12], 'trigger_words': 'grasp', 'trigger_confidence': 0.787640392780304, 'event_type': {'xpo_node': 'DWD_Q7091744', 'name': 'onboarding', 'description': 'mechanism through which new employees acquire the knowledge, skills, and behaviors necessary to become effective organizational members'}, 'event_confidence': 0.970042884349823}]}"
1,Spatula cook egg.,"{'sen_id': 84, 'sentence': 'Spatula cook egg.', 'predicted_mentions': []}"
0,Student bury water.,"{'sen_id': 85, 'sentence': 'Student bury water.', 'predicted_mentions': [{'sentence_offset': [8, 12], 'trigger_words': 'bury', 'trigger_confidence': 0.9732152223587036, 'event_type': {'xpo_node': 'DWD_Q106562186', 'name': 'burial', 'description': 'process of depositing material underground or covering it with earth'}, 'event_confidence': 0.9418505430221558}]}"
1,Bowl dump water.,"{'sen_id': 86, 'sentence': 'Bowl dump water.', 'predicted_mentions': []}"
0,Child pack truck.,"{'sen_id': 87, 'sentence': 'Child pack truck.', 'predicted_mentions': []}"
1,Shovel peel orange.,"{'sen_id': 88, 'sentence': 'Shovel peel orange.', 'predicted_mentions': []}"
0,Pen pierce car.,"{'sen_id': 89, 'sentence': 'Pen pierce car.', 'predicted_mentions': []}"
0,Girl bury rain.,"{'sen_id': 90, 'sentence': 'Girl bury rain.', 'predicted_mentions': [{'sentence_offset': [5, 9], 'trigger_words': 'bury', 'trigger_confidence': 0.9610362648963928, 'event_type': {'xpo_node': 'DWD_Q106562186', 'name': 'burial', 'description': 'process of depositing material underground or covering it with earth'}, 'event_confidence': 0.9026564955711365}]}"
1,Clown drive car.,"{'sen_id': 91, 'sentence': 'Clown drive car.', 'predicted_mentions': [{'sentence_offset': [6, 11], 'trigger_words': 'drive', 'trigger_confidence': 0.6525314450263977, 'event_type': {'xpo_node': 'DWD_Q628839', 'name': 'driving', 'description': 'use of horses to pull carriages'}, 'event_confidence': 0.9205312728881836}]}"
0,Ant lift dumbbell.,"{'sen_id': 92, 'sentence': 'Ant lift dumbbell.', 'predicted_mentions': [{'sentence_offset': [4, 8], 'trigger_words': 'lift', 'trigger_confidence': 0.7099148631095886, 'event_type': {'xpo_node': 'DWD_Q23009442', 'name': 'removal', 'description': 'dissociation of the original object with its old part; moving an object on distance of disconnect; process of moving, or the fact of being removed'}, 'event_confidence': 0.8797376155853271}]}"
1,Man grab ham.,"{'sen_id': 93, 'sentence': 'Man grab ham.', 'predicted_mentions': []}"
0,Bear wrestle rock.,"{'sen_id': 94, 'sentence': 'Bear wrestle rock.', 'predicted_mentions': [{'sentence_offset': [5, 12], 'trigger_words': 'wrestle', 'trigger_confidence': 0.6015940308570862, 'event_type': {'xpo_node': 'DWD_Q42486', 'name': 'wrestling', 'description': 'form of combat sport involving grappling type techniques'}, 'event_confidence': 0.8931000232696533}]}"
0,Ant pet cat.,"{'sen_id': 95, 'sentence': 'Ant pet cat.', 'predicted_mentions': []}"
1,Horse tug car.,"{'sen_id': 96, 'sentence': 'Horse tug car.', 'predicted_mentions': []}"
1,Rope yank chair.,"{'sen_id': 97, 'sentence': 'Rope yank chair.', 'predicted_mentions': []}"
1,Child spill cream.,"{'sen_id': 98, 'sentence': 'Child spill cream.', 'predicted_mentions': [{'sentence_offset': [6, 11], 'trigger_words': 'spill', 'trigger_confidence': 0.5258020758628845, 'event_type': {'xpo_node': 'DWD_Q1349983', 'name': 'leak', 'description': 'process of fluid escaping containment'}, 'event_confidence': 0.8045920729637146}]}"
1,Bird stretch snake.,"{'sen_id': 99, 'sentence': 'Bird stretch snake.', 'predicted_mentions': []}"
1,Man open bottle.,"{'sen_id': 100, 'sentence': 'Man open bottle.', 'predicted_mentions': [{'sentence_offset': [4, 8], 'trigger_words': 'open', 'trigger_confidence': 0.9346786141395569, 'event_type': {'xpo_node': 'DWD_Q16571590', 'name': 'reopening', 'description': 'new opening, usually for a cultural or commercial establishment'}, 'event_confidence': 0.9421840906143188}]}"
0,Man construct sand.,"{'sen_id': 101, 'sentence': 'Man construct sand.', 'predicted_mentions': [{'sentence_offset': [4, 13], 'trigger_words': 'construct', 'trigger_confidence': 0.9661634564399719, 'event_type': {'xpo_node': 'DWD_Q39595897', 'name': 'construction_method', 'description': 'process for building'}, 'event_confidence': 0.6163229942321777}]}"
1,Pen etch grape.,"{'sen_id': 102, 'sentence': 'Pen etch grape.', 'predicted_mentions': []}"
1,Grandma knit wool.,"{'sen_id': 103, 'sentence': 'Grandma knit wool.', 'predicted_mentions': [{'sentence_offset': [8, 12], 'trigger_words': 'knit', 'trigger_confidence': 0.9214395880699158, 'event_type': {'xpo_node': 'DWD_Q1920065', 'name': 'quilting', 'description': 'process of sewing layers of fabric together to make a padded material'}, 'event_confidence': 0.8589959144592285}]}"
1,Scissors trim monkey.,"{'sen_id': 104, 'sentence': 'Scissors trim monkey.', 'predicted_mentions': []}"
1,Cake hit closet.,"{'sen_id': 105, 'sentence': 'Cake hit closet.', 'predicted_mentions': [{'sentence_offset': [5, 8], 'trigger_words': 'hit', 'trigger_confidence': 0.6073509454727173, 'event_type': {'xpo_node': 'DWD_Q3242199', 'name': 'strike', 'description': 'directed physical attack'}, 'event_confidence': 0.9093092679977417}]}"
1,Desk hit ball.,"{'sen_id': 106, 'sentence': 'Desk hit ball.', 'predicted_mentions': []}"
0,Nose chafe milk.,"{'sen_id': 107, 'sentence': 'Nose chafe milk.', 'predicted_mentions': []}"
1,Cloth rub meat.,"{'sen_id': 108, 'sentence': 'Cloth rub meat.', 'predicted_mentions': [{'sentence_offset': [6, 9], 'trigger_words': 'rub', 'trigger_confidence': 0.790866494178772, 'event_type': {'xpo_node': 'DWD_Q96644756', 'name': 'rubbing', 'description': 'intentional motion of an object against another object for the purposes of production of light, heat, or sound; transfer of material or pattern from one object to the other; or alteration of shape of one or both objects'}, 'event_confidence': 0.9178243279457092}]}"
0,Ant seize car.,"{'sen_id': 109, 'sentence': 'Ant seize car.', 'predicted_mentions': []}"
0,Eraser erase water.,"{'sen_id': 110, 'sentence': 'Eraser erase water.', 'predicted_mentions': []}"
1,Food poison bird.,"{'sen_id': 111, 'sentence': 'Food poison bird.', 'predicted_mentions': []}"
1,Elephant shake house.,"{'sen_id': 112, 'sentence': 'Elephant shake house.', 'predicted_mentions': []}"
0,Ant punch wall.,"{'sen_id': 113, 'sentence': 'Ant punch wall.', 'predicted_mentions': [{'sentence_offset': [4, 9], 'trigger_words': 'punch', 'trigger_confidence': 0.7465083599090576, 'event_type': {'xpo_node': 'DWD_Q370150', 'name': 'headbutt', 'description': 'attack using the head'}, 'event_confidence': 0.6232273578643799}]}"
0,Tissue rip paper.,"{'sen_id': 114, 'sentence': 'Tissue rip paper.', 'predicted_mentions': []}"
1,Stick draw house.,"{'sen_id': 115, 'sentence': 'Stick draw house.', 'predicted_mentions': []}"
1,Policeman open window.,"{'sen_id': 116, 'sentence': 'Policeman open window.', 'predicted_mentions': [{'sentence_offset': [10, 14], 'trigger_words': 'open', 'trigger_confidence': 0.955588161945343, 'event_type': {'xpo_node': 'DWD_Q15051339', 'name': 'opening', 'description': 'moment when an institution starts operating'}, 'event_confidence': 0.9600414633750916}]}"
1,Child snatch paper.,"{'sen_id': 117, 'sentence': 'Child snatch paper.', 'predicted_mentions': []}"
1,Man knead pillow.,"{'sen_id': 118, 'sentence': 'Man knead pillow.', 'predicted_mentions': [{'sentence_offset': [4, 9], 'trigger_words': 'knead', 'trigger_confidence': 0.9417484998703003, 'event_type': {'xpo_node': 'DWD_Q1436248', 'name': 'spanking', 'description': 'corporal punishment involving the act of striking the buttocks of another person'}, 'event_confidence': 0.8678180575370789}]}"
0,Desk hit cloud.,"{'sen_id': 119, 'sentence': 'Desk hit cloud.', 'predicted_mentions': [{'sentence_offset': [5, 8], 'trigger_words': 'hit', 'trigger_confidence': 0.8534737825393677, 'event_type': {'xpo_node': 'DWD_Q3242199', 'name': 'strike', 'description': 'directed physical attack'}, 'event_confidence': 0.926992654800415}]}"
1,Spatula drain pond.,"{'sen_id': 120, 'sentence': 'Spatula drain pond.', 'predicted_mentions': []}"
1,Sword slice pencil.,"{'sen_id': 121, 'sentence': 'Sword slice pencil.', 'predicted_mentions': []}"
1,Rug mask hand.,"{'sen_id': 122, 'sentence': 'Rug mask hand.', 'predicted_mentions': []}"
0,Child grip water.,"{'sen_id': 123, 'sentence': 'Child grip water.', 'predicted_mentions': []}"
1,Sign halt boat.,"{'sen_id': 124, 'sentence': 'Sign halt boat.', 'predicted_mentions': [{'sentence_offset': [0, 4], 'trigger_words': 'Sign', 'trigger_confidence': 0.6134635806083679, 'event_type': {'xpo_node': 'DWD_Q1211272', 'name': 'signage', 'description': 'design or use of signs and symbols on physical objects to communicate a message to a particular audience in a particular context'}, 'event_confidence': 0.9842689037322998}, {'sentence_offset': [5, 9], 'trigger_words': 'halt', 'trigger_confidence': 0.7110861539840698, 'event_type': {'xpo_node': 'DWD_Q5750548', 'name': 'hiatus', 'description': ""break in a TV programme's schedule""}, 'event_confidence': 0.9881641864776611}]}"
0,Elephant tug pin.,"{'sen_id': 125, 'sentence': 'Elephant tug pin.', 'predicted_mentions': []}"
1,Mouth squirt sand.,"{'sen_id': 126, 'sentence': 'Mouth squirt sand.', 'predicted_mentions': []}"
1,Hand hurl bag.,"{'sen_id': 127, 'sentence': 'Hand hurl bag.', 'predicted_mentions': []}"
0,Elephant fill cup.,"{'sen_id': 128, 'sentence': 'Elephant fill cup.', 'predicted_mentions': []}"
0,Man fix cream.,"{'sen_id': 129, 'sentence': 'Man fix cream.', 'predicted_mentions': [{'sentence_offset': [4, 7], 'trigger_words': 'fix', 'trigger_confidence': 0.9340563416481018, 'event_type': {'xpo_node': 'DWD_Q23001715', 'name': 'conventional_amendment', 'description': 'modification of a contract or agreement, subject to the approval of the signatory parties, in order to correct or cancel it.'}, 'event_confidence': 0.9593631625175476}]}"
0,Pillow flatten car.,"{'sen_id': 130, 'sentence': 'Pillow flatten car.', 'predicted_mentions': [{'sentence_offset': [7, 14], 'trigger_words': 'flatten', 'trigger_confidence': 0.9353308081626892, 'event_type': {'xpo_node': 'DWD_Q1621571', 'name': 'hobble', 'description': 'device for preventing or limiting the locomotion of a human or animal'}, 'event_confidence': 0.8506597876548767}]}"
0,Smoke hit wool.,"{'sen_id': 131, 'sentence': 'Smoke hit wool.', 'predicted_mentions': [{'sentence_offset': [6, 9], 'trigger_words': 'hit', 'trigger_confidence': 0.841769814491272, 'event_type': {'xpo_node': 'DWD_Q3242199', 'name': 'strike', 'description': 'directed physical attack'}, 'event_confidence': 0.8698835372924805}]}"
0,Bag contain dolphin.,"{'sen_id': 132, 'sentence': 'Bag contain dolphin.', 'predicted_mentions': [{'sentence_offset': [4, 11], 'trigger_words': 'contain', 'trigger_confidence': 0.9461512565612793, 'event_type': {'xpo_node': 'DWD_Q62069734', 'name': 'filling', 'description': 'process of adding contentsand making full'}, 'event_confidence': 0.9205804467201233}]}"
1,Soil absorb oil.,"{'sen_id': 133, 'sentence': 'Soil absorb oil.', 'predicted_mentions': [{'sentence_offset': [5, 11], 'trigger_words': 'absorb', 'trigger_confidence': 0.990355372428894, 'event_type': {'xpo_node': 'DWD_Q1758948', 'name': 'absorption', 'description': 'transfer of sound energy into internal energy of the absorber'}, 'event_confidence': 0.9339179396629333}]}"
0,Girl chew laptop.,"{'sen_id': 134, 'sentence': 'Girl chew laptop.', 'predicted_mentions': []}"
1,Person chafe chef.,"{'sen_id': 135, 'sentence': 'Person chafe chef.', 'predicted_mentions': []}"
0,Clown clench air.,"{'sen_id': 136, 'sentence': 'Clown clench air.', 'predicted_mentions': []}"
1,Cat lift rabbit.,"{'sen_id': 137, 'sentence': 'Cat lift rabbit.', 'predicted_mentions': []}"
