text,original_label,label,event_type
Director enriches excellence.,implausible,1,"{'sen_id': 17, 'sentence': 'Director enriches excellence.', 'predicted_mentions': []}"
Nominee carries district.,plausible,1,"{'sen_id': 18, 'sentence': 'Nominee carries district.', 'predicted_mentions': [{'sentence_offset': [8, 15], 'trigger_words': 'carries', 'trigger_confidence': 0.9830834865570068, 'event_type': {'xpo_node': 'DWD_Q61707958', 'name': 'carrying', 'description': 'lifting and transporting something'}, 'event_confidence': 0.9650457501411438}]}"
Government establishes relation.,plausible,1,"{'sen_id': 19, 'sentence': 'Government establishes relation.', 'predicted_mentions': [{'sentence_offset': [0, 10], 'trigger_words': 'Government', 'trigger_confidence': 0.8697977662086487, 'event_type': {'xpo_node': 'DWD_Q219160', 'name': 'couple', 'description': 'set of two people linked in a physical and emotional community'}, 'event_confidence': 0.639958381652832}, {'sentence_offset': [11, 22], 'trigger_words': 'establishes', 'trigger_confidence': 0.9666594862937927, 'event_type': {'xpo_node': 'DWD_Q11398090', 'name': 'creation', 'description': 'process during which something comes into being and gains its characteristics'}, 'event_confidence': 0.9371523261070251}, {'sentence_offset': [23, 31], 'trigger_words': 'relation', 'trigger_confidence': 0.9508122801780701, 'event_type': {'xpo_node': 'DWD_Q736922', 'name': 'intimate_relationship', 'description': 'physical or emotional intimacy between 2 or more humans'}, 'event_confidence': 0.8735992908477783}]}"
Restriction poses challenge.,plausible,1,"{'sen_id': 20, 'sentence': 'Restriction poses challenge.', 'predicted_mentions': [{'sentence_offset': [0, 11], 'trigger_words': 'Restriction', 'trigger_confidence': 0.8873279094696045, 'event_type': {'xpo_node': 'DWD_Q99194287', 'name': 'censoring', 'description': 'activity of altering, deleting, or removing content in accordance with censorship guidelines'}, 'event_confidence': 0.9152355790138245}, {'sentence_offset': [18, 27], 'trigger_words': 'challenge', 'trigger_confidence': 0.8252065181732178, 'event_type': {'xpo_node': 'DWD_Q3665774', 'name': 'challenge', 'description': 'request made to the holder of a competitive title for a match between champion and challenger'}, 'event_confidence': 0.9792674779891968}]}"
Lack leads productivity.,plausible,1,"{'sen_id': 21, 'sentence': 'Lack leads productivity.', 'predicted_mentions': [{'sentence_offset': [0, 4], 'trigger_words': 'Lack', 'trigger_confidence': 0.9444867372512817, 'event_type': {'xpo_node': 'DWD_Q4580104', 'name': 'grout', 'description': 'mixture used to fill gaps and reinforce structures'}, 'event_confidence': 0.8204282522201538}]}"
Bazaar covers costume.,implausible,1,"{'sen_id': 22, 'sentence': 'Bazaar covers costume.', 'predicted_mentions': []}"
Campus persuades scenery.,implausible,0,"{'sen_id': 23, 'sentence': 'Campus persuades scenery.', 'predicted_mentions': [{'sentence_offset': [7, 16], 'trigger_words': 'persuades', 'trigger_confidence': 0.962296724319458, 'event_type': {'xpo_node': 'DWD_Q1231428', 'name': 'persuasion', 'description': 'umbrella term of influence and mode of communication'}, 'event_confidence': 0.995426595211029}]}"
Fork finds triumph.,implausible,0,"{'sen_id': 24, 'sentence': 'Fork finds triumph.', 'predicted_mentions': [{'sentence_offset': [5, 10], 'trigger_words': 'finds', 'trigger_confidence': 0.9477437734603882, 'event_type': {'xpo_node': 'DWD_Q12772819', 'name': 'discovery', 'description': 'act of detecting something new'}, 'event_confidence': 0.8727712035179138}]}"
Team recovers medallion.,plausible,1,"{'sen_id': 25, 'sentence': 'Team recovers medallion.', 'predicted_mentions': [{'sentence_offset': [5, 13], 'trigger_words': 'recovers', 'trigger_confidence': 0.9525048136711121, 'event_type': {'xpo_node': 'DWD_Q920600', 'name': 'urban_renewal', 'description': 'program of land redevelopment in cities, often where there is urban decay'}, 'event_confidence': 0.7983219027519226}]}"
Reduction mitigates condition.,plausible,1,"{'sen_id': 26, 'sentence': 'Reduction mitigates condition.', 'predicted_mentions': [{'sentence_offset': [0, 9], 'trigger_words': 'Reduction', 'trigger_confidence': 0.5776863098144531, 'event_type': {'xpo_node': 'DWD_Q1458711', 'name': 'harm_reduction', 'description': 'range of public health policies designed to lessen the negative social and/or physical consequences associated with various human behaviors, both legal and illegal'}, 'event_confidence': 0.9816493391990662}, {'sentence_offset': [10, 19], 'trigger_words': 'mitigates', 'trigger_confidence': 0.675473153591156, 'event_type': {'xpo_node': 'DWD_Q1458711', 'name': 'harm_reduction', 'description': 'range of public health policies designed to lessen the negative social and/or physical consequences associated with various human behaviors, both legal and illegal'}, 'event_confidence': 0.9746100306510925}]}"
Communism holds rent.,implausible,0,"{'sen_id': 27, 'sentence': 'Communism holds rent.', 'predicted_mentions': [{'sentence_offset': [10, 15], 'trigger_words': 'holds', 'trigger_confidence': 0.8520277142524719, 'event_type': {'xpo_node': 'DWD_Q157171', 'name': 'renting', 'description': 'agreement where a payment is made for the temporary use of a good, service or property owned by another'}, 'event_confidence': 0.7318668365478516}]}"
Band reschedules tour.,plausible,0,"{'sen_id': 28, 'sentence': 'Band reschedules tour.', 'predicted_mentions': []}"
Dealer draws tile.,plausible,0,"{'sen_id': 29, 'sentence': 'Dealer draws tile.', 'predicted_mentions': [{'sentence_offset': [7, 12], 'trigger_words': 'draws', 'trigger_confidence': 0.878898561000824, 'event_type': {'xpo_node': 'DWD_Q353399', 'name': 'adduction', 'description': 'motion that pulls a structure or part toward the midline of the body, or towards the midline of a limb'}, 'event_confidence': 0.9365927577018738}]}"
Marble depicts success.,plausible,1,"{'sen_id': 30, 'sentence': 'Marble depicts success.', 'predicted_mentions': [{'sentence_offset': [7, 14], 'trigger_words': 'depicts', 'trigger_confidence': 0.9494056105613708, 'event_type': {'xpo_node': 'DWD_Q451553', 'name': 'visualization', 'description': 'set of techniques for creating images, diagrams, or animations to communicate a message'}, 'event_confidence': 0.9372938871383667}, {'sentence_offset': [15, 22], 'trigger_words': 'success', 'trigger_confidence': 0.5209376811981201, 'event_type': {'xpo_node': 'DWD_Q7632586', 'name': 'success', 'description': ""achievement of one's aim or goal""}, 'event_confidence': 0.9568837881088257}]}"
Reviewer praises film.,plausible,1,"{'sen_id': 31, 'sentence': 'Reviewer praises film.', 'predicted_mentions': [{'sentence_offset': [9, 16], 'trigger_words': 'praises', 'trigger_confidence': 0.8505849838256836, 'event_type': {'xpo_node': 'DWD_Q1208425', 'name': 'praise', 'description': ""positive evaluations made by a person of another's products, performances, or attributes""}, 'event_confidence': 0.986515998840332}]}"
Train begins service.,plausible,1,"{'sen_id': 32, 'sentence': 'Train begins service.', 'predicted_mentions': []}"
Anecdote resumes opportunity.,implausible,1,"{'sen_id': 33, 'sentence': 'Anecdote resumes opportunity.', 'predicted_mentions': []}"
Review compares book.,plausible,1,"{'sen_id': 34, 'sentence': 'Review compares book.', 'predicted_mentions': [{'sentence_offset': [7, 15], 'trigger_words': 'compares', 'trigger_confidence': 0.9705356955528259, 'event_type': {'xpo_node': 'DWD_Q1720648', 'name': 'comparison', 'description': 'examination of two or more entities to deduce their similarities and differences'}, 'event_confidence': 0.9707164168357849}]}"
Study finds link.,plausible,1,"{'sen_id': 35, 'sentence': 'Study finds link.', 'predicted_mentions': [{'sentence_offset': [6, 11], 'trigger_words': 'finds', 'trigger_confidence': 0.9645928740501404, 'event_type': {'xpo_node': 'DWD_Q219160', 'name': 'couple', 'description': 'set of two people linked in a physical and emotional community'}, 'event_confidence': 0.8349350094795227}]}"
Parka shows hardship.,implausible,1,"{'sen_id': 36, 'sentence': 'Parka shows hardship.', 'predicted_mentions': []}"
Challenger chooses value.,plausible,1,"{'sen_id': 37, 'sentence': 'Challenger chooses value.', 'predicted_mentions': [{'sentence_offset': [11, 18], 'trigger_words': 'chooses', 'trigger_confidence': 0.9736802577972412, 'event_type': {'xpo_node': 'DWD_Q12888920', 'name': 'choice', 'description': 'act of judging the merits of multiple options and selecting one or more of them'}, 'event_confidence': 0.964049220085144}]}"
Press shakes rent.,implausible,0,"{'sen_id': 38, 'sentence': 'Press shakes rent.', 'predicted_mentions': []}"
Opportunity improves allusion.,implausible,1,"{'sen_id': 39, 'sentence': 'Opportunity improves allusion.', 'predicted_mentions': [{'sentence_offset': [12, 20], 'trigger_words': 'improves', 'trigger_confidence': 0.7741203308105469, 'event_type': {'xpo_node': 'DWD_Q21255975', 'name': 'improvement', 'description': 'process of a thing moving from one state to another that is considered to be better, usually through some action intended to bring about that better state'}, 'event_confidence': 0.9851495027542114}]}"
Apron reimburses dolphin.,implausible,0,"{'sen_id': 40, 'sentence': 'Apron reimburses dolphin.', 'predicted_mentions': []}"
Fellowship binds furnace.,implausible,0,"{'sen_id': 41, 'sentence': 'Fellowship binds furnace.', 'predicted_mentions': [{'sentence_offset': [11, 16], 'trigger_words': 'binds', 'trigger_confidence': 0.953460156917572, 'event_type': {'xpo_node': 'DWD_Q97499962', 'name': 'breast_binding', 'description': 'process of compressing breasts to flatten the chest through the use of constrictive materials'}, 'event_confidence': 0.8580546379089355}]}"
Meat demonstrates barrel.,implausible,1,"{'sen_id': 42, 'sentence': 'Meat demonstrates barrel.', 'predicted_mentions': [{'sentence_offset': [5, 17], 'trigger_words': 'demonstrates', 'trigger_confidence': 0.9685614705085754, 'event_type': {'xpo_node': 'DWD_Q4157632', 'name': 'product_demonstration', 'description': 'demonstration of a product to potential customers or others'}, 'event_confidence': 0.9425602555274963}]}"
Book realizes size.,implausible,0,"{'sen_id': 43, 'sentence': 'Book realizes size.', 'predicted_mentions': []}"
Prison evaluates possibility.,plausible,1,"{'sen_id': 44, 'sentence': 'Prison evaluates possibility.', 'predicted_mentions': [{'sentence_offset': [7, 16], 'trigger_words': 'evaluates', 'trigger_confidence': 0.9753625988960266, 'event_type': {'xpo_node': 'DWD_Q1379672', 'name': 'evaluation', 'description': ""systematic determination of a subject's merit, worth and significance""}, 'event_confidence': 0.9227104783058167}]}"
Magazine identifies firefighter.,plausible,1,"{'sen_id': 45, 'sentence': 'Magazine identifies firefighter.', 'predicted_mentions': [{'sentence_offset': [9, 19], 'trigger_words': 'identifies', 'trigger_confidence': 0.9422342777252197, 'event_type': {'xpo_node': 'DWD_Q3265221', 'name': 'identification', 'description': 'mapping of a known quantity to an unknown entity so as to make it known'}, 'event_confidence': 0.8777681589126587}]}"
Jellyfish create vortex.,plausible,1,"{'sen_id': 46, 'sentence': 'Jellyfish create vortex.', 'predicted_mentions': [{'sentence_offset': [10, 16], 'trigger_words': 'create', 'trigger_confidence': 0.850771963596344, 'event_type': {'xpo_node': 'DWD_Q47407603', 'name': 'artistic_creation', 'description': 'process during which a work of art comes into being'}, 'event_confidence': 0.972052276134491}]}"
Radio yells daughter.,implausible,0,"{'sen_id': 47, 'sentence': 'Radio yells daughter.', 'predicted_mentions': []}"
Restructuring maximizes palace.,implausible,1,"{'sen_id': 48, 'sentence': 'Restructuring maximizes palace.', 'predicted_mentions': [{'sentence_offset': [14, 23], 'trigger_words': 'maximizes', 'trigger_confidence': 0.5995994806289673, 'event_type': {'xpo_node': 'DWD_Q70467272', 'name': 'maximization', 'description': 'process of seeking to make a value as large as possible'}, 'event_confidence': 0.9053013920783997}]}"
Paradox rotates tour.,implausible,0,"{'sen_id': 49, 'sentence': 'Paradox rotates tour.', 'predicted_mentions': [{'sentence_offset': [8, 15], 'trigger_words': 'rotates', 'trigger_confidence': 0.8851830363273621, 'event_type': {'xpo_node': 'DWD_Q107617', 'name': 'rotation', 'description': 'circular movement of an object around an axis of rotation'}, 'event_confidence': 0.6723723411560059}]}"
Girl has tadpole.,implausible,1,"{'sen_id': 50, 'sentence': 'Girl has tadpole.', 'predicted_mentions': []}"
Failure puts model.,plausible,1,"{'sen_id': 51, 'sentence': 'Failure puts model.', 'predicted_mentions': []}"
Experimenter undertakes agreement.,implausible,1,"{'sen_id': 52, 'sentence': 'Experimenter undertakes agreement.', 'predicted_mentions': [{'sentence_offset': [13, 23], 'trigger_words': 'undertakes', 'trigger_confidence': 0.8724671006202698, 'event_type': {'xpo_node': 'DWD_Q673511', 'name': 'initiation', 'description': 'chemical reaction that triggers one or more secondary reactions'}, 'event_confidence': 0.6246760487556458}]}"
Coefficient perpetuates side.,implausible,1,"{'sen_id': 53, 'sentence': 'Coefficient perpetuates side.', 'predicted_mentions': []}"
Thesis beats hometown.,implausible,0,"{'sen_id': 54, 'sentence': 'Thesis beats hometown.', 'predicted_mentions': [{'sentence_offset': [7, 12], 'trigger_words': 'beats', 'trigger_confidence': 0.8410546183586121, 'event_type': {'xpo_node': 'DWD_Q81242', 'name': 'sea_breeze', 'description': 'wind blowing from sea to land'}, 'event_confidence': 0.7324552536010742}]}"
Water rises yard.,plausible,0,"{'sen_id': 55, 'sentence': 'Water rises yard.', 'predicted_mentions': [{'sentence_offset': [6, 11], 'trigger_words': 'rises', 'trigger_confidence': 0.9880834221839905, 'event_type': {'xpo_node': 'DWD_Q106008354', 'name': 'rise', 'description': 'baking term for when dough enlargens because of an internal chemical process'}, 'event_confidence': 0.8866108059883118}]}"
Newspaper publishes issue.,plausible,1,"{'sen_id': 56, 'sentence': 'Newspaper publishes issue.', 'predicted_mentions': [{'sentence_offset': [10, 19], 'trigger_words': 'publishes', 'trigger_confidence': 0.988373875617981, 'event_type': {'xpo_node': 'DWD_Q3972943', 'name': 'publishing', 'description': 'process of production and dissemination of literature, music, or information'}, 'event_confidence': 0.9205401539802551}]}"
Manservant imparts toilet.,implausible,0,"{'sen_id': 57, 'sentence': 'Manservant imparts toilet.', 'predicted_mentions': []}"
Vernacular concedes attention.,implausible,1,"{'sen_id': 58, 'sentence': 'Vernacular concedes attention.', 'predicted_mentions': []}"
Council provides function.,plausible,1,"{'sen_id': 59, 'sentence': 'Council provides function.', 'predicted_mentions': [{'sentence_offset': [8, 16], 'trigger_words': 'provides', 'trigger_confidence': 0.9398815035820007, 'event_type': {'xpo_node': 'DWD_Q867393', 'name': 'amenity', 'description': 'infrastructure available for use and improving quality of life'}, 'event_confidence': 0.9890257716178894}]}"
Movement embodies elegance.,plausible,1,"{'sen_id': 60, 'sentence': 'Movement embodies elegance.', 'predicted_mentions': [{'sentence_offset': [0, 8], 'trigger_words': 'Movement', 'trigger_confidence': 0.5177615880966187, 'event_type': {'xpo_node': 'DWD_Q29374366', 'name': 'active_motion', 'description': 'type of motion; self-propelled, powered'}, 'event_confidence': 0.8297626376152039}]}"
Portrayal conveys sympathy.,plausible,1,"{'sen_id': 61, 'sentence': 'Portrayal conveys sympathy.', 'predicted_mentions': []}"
Church renames wine.,implausible,1,"{'sen_id': 62, 'sentence': 'Church renames wine.', 'predicted_mentions': [{'sentence_offset': [7, 14], 'trigger_words': 'renames', 'trigger_confidence': 0.6975483894348145, 'event_type': {'xpo_node': 'DWD_Q11279204', 'name': 'revision', 'description': 'stage in the writing process where the author reviews, alters, and amends their message, according to what has been written in the draft'}, 'event_confidence': 0.9120010137557983}]}"
Advantage decorates rupture.,implausible,1,"{'sen_id': 63, 'sentence': 'Advantage decorates rupture.', 'predicted_mentions': [{'sentence_offset': [10, 19], 'trigger_words': 'decorates', 'trigger_confidence': 0.7411259412765503, 'event_type': {'xpo_node': 'DWD_Q91791919', 'name': 'decorating', 'description': 'process of embellishing architecture, furniture, or other objects'}, 'event_confidence': 0.9437406063079834}]}"
Wind weaves salmon.,implausible,0,"{'sen_id': 64, 'sentence': 'Wind weaves salmon.', 'predicted_mentions': [{'sentence_offset': [5, 11], 'trigger_words': 'weaves', 'trigger_confidence': 0.9243495464324951, 'event_type': {'xpo_node': 'DWD_Q1967135', 'name': 'centrifugation', 'description': 'The application of centrifugal force to separate particles or molecules by size or density in/from a solution.'}, 'event_confidence': 0.7750449776649475}]}"
Table illustrates estimation.,plausible,1,"{'sen_id': 65, 'sentence': 'Table illustrates estimation.', 'predicted_mentions': [{'sentence_offset': [6, 17], 'trigger_words': 'illustrates', 'trigger_confidence': 0.901608407497406, 'event_type': {'xpo_node': 'DWD_Q21550668', 'name': 'illustration', 'description': 'process of providing drawings or other pictures intended to elucidate a description, story, or other written material'}, 'event_confidence': 0.9749755859375}, {'sentence_offset': [18, 28], 'trigger_words': 'estimation', 'trigger_confidence': 0.7348267436027527, 'event_type': {'xpo_node': 'DWD_Q948144', 'name': 'rationalization', 'description': 'a psychological defense mechanism in which controversial behaviors or feelings are justified and explained in a seemingly rational or logical manner to avoid the true explanation'}, 'event_confidence': 0.7938558459281921}]}"
Chin embraces infant.,plausible,1,"{'sen_id': 66, 'sentence': 'Chin embraces infant.', 'predicted_mentions': []}"
Completion halve time.,plausible,1,"{'sen_id': 67, 'sentence': 'Completion halve time.', 'predicted_mentions': []}"
Trophy begins photosynthesis.,implausible,0,"{'sen_id': 68, 'sentence': 'Trophy begins photosynthesis.', 'predicted_mentions': []}"
Body incorporates illness.,plausible,1,"{'sen_id': 69, 'sentence': 'Body incorporates illness.', 'predicted_mentions': [{'sentence_offset': [5, 17], 'trigger_words': 'incorporates', 'trigger_confidence': 0.9784214496612549, 'event_type': {'xpo_node': 'DWD_Q25394665', 'name': 'incorporation', 'description': 'joining a state by another state'}, 'event_confidence': 0.9866563081741333}]}"
Event diagnoses soccer.,implausible,1,"{'sen_id': 70, 'sentence': 'Event diagnoses soccer.', 'predicted_mentions': [{'sentence_offset': [6, 15], 'trigger_words': 'diagnoses', 'trigger_confidence': 0.8977835774421692, 'event_type': {'xpo_node': 'DWD_Q948144', 'name': 'rationalization', 'description': 'a psychological defense mechanism in which controversial behaviors or feelings are justified and explained in a seemingly rational or logical manner to avoid the true explanation'}, 'event_confidence': 0.8358290791511536}]}"
Police render spider.,implausible,1,"{'sen_id': 71, 'sentence': 'Police render spider.', 'predicted_mentions': []}"
Person call town.,plausible,0,"{'sen_id': 72, 'sentence': 'Person call town.', 'predicted_mentions': []}"
Spy mentions village.,plausible,1,"{'sen_id': 73, 'sentence': 'Spy mentions village.', 'predicted_mentions': [{'sentence_offset': [0, 3], 'trigger_words': 'Spy', 'trigger_confidence': 0.6149486303329468, 'event_type': {'xpo_node': 'DWD_Q165950', 'name': 'espionage', 'description': 'clandestine acquisition of confidential information'}, 'event_confidence': 0.9467818140983582}]}"
Cavalry invalidates edition.,implausible,1,"{'sen_id': 74, 'sentence': 'Cavalry invalidates edition.', 'predicted_mentions': []}"
Stove spreads inflammation.,implausible,0,"{'sen_id': 75, 'sentence': 'Stove spreads inflammation.', 'predicted_mentions': [{'sentence_offset': [6, 13], 'trigger_words': 'spreads', 'trigger_confidence': 0.6583065390586853, 'event_type': {'xpo_node': 'DWD_Q1664296', 'name': 'inoculation', 'description': 'method of purposefully infecting a person with smallpox (Variola)'}, 'event_confidence': 0.7930550575256348}, {'sentence_offset': [14, 26], 'trigger_words': 'inflammation', 'trigger_confidence': 0.6292305588722229, 'event_type': {'xpo_node': 'DWD_Q101991', 'name': 'inflammation', 'description': 'signs of activation of the immune system'}, 'event_confidence': 0.8750924468040466}]}"
Restructuring waits newsletter.,implausible,1,"{'sen_id': 76, 'sentence': 'Restructuring waits newsletter.', 'predicted_mentions': []}"
Corruption facilitates destruction.,plausible,1,"{'sen_id': 77, 'sentence': 'Corruption facilitates destruction.', 'predicted_mentions': [{'sentence_offset': [0, 10], 'trigger_words': 'Corruption', 'trigger_confidence': 0.9586123824119568, 'event_type': {'xpo_node': 'DWD_Q366', 'name': 'corruption', 'description': ""form of dishonesty or criminal offense undertaken by a person or organization entrusted with a position of authority, to acquire illicit benefit or abuse power for one's private gain""}, 'event_confidence': 0.9896422028541565}, {'sentence_offset': [23, 34], 'trigger_words': 'destruction', 'trigger_confidence': 0.9603177309036255, 'event_type': {'xpo_node': 'DWD_Q17781833', 'name': 'destruction', 'description': 'concept of damage to an object, system or an idea'}, 'event_confidence': 0.9874716401100159}]}"
Branch stays independence.,implausible,1,"{'sen_id': 78, 'sentence': 'Branch stays independence.', 'predicted_mentions': []}"
Leader repudiates truck.,implausible,1,"{'sen_id': 79, 'sentence': 'Leader repudiates truck.', 'predicted_mentions': [{'sentence_offset': [7, 17], 'trigger_words': 'repudiates', 'trigger_confidence': 0.7706746459007263, 'event_type': {'xpo_node': 'DWD_Q3456503', 'name': 'repudiation', 'description': 'act by which a husband renounces his wife in certain cultures and religions'}, 'event_confidence': 0.9538156390190125}]}"
Report binds establishment.,implausible,0,"{'sen_id': 80, 'sentence': 'Report binds establishment.', 'predicted_mentions': [{'sentence_offset': [7, 12], 'trigger_words': 'binds', 'trigger_confidence': 0.9230318069458008, 'event_type': {'xpo_node': 'DWD_Q97499962', 'name': 'breast_binding', 'description': 'process of compressing breasts to flatten the chest through the use of constrictive materials'}, 'event_confidence': 0.8613671064376831}]}"
Interaction stabilizes form.,plausible,1,"{'sen_id': 81, 'sentence': 'Interaction stabilizes form.', 'predicted_mentions': [{'sentence_offset': [12, 22], 'trigger_words': 'stabilizes', 'trigger_confidence': 0.9486899971961975, 'event_type': {'xpo_node': 'DWD_Q7595735', 'name': 'stabilization', 'description': 'in medicine, process to help prevent shock in sick or injured people'}, 'event_confidence': 0.7827459573745728}]}"
Tactic acknowledges concern.,implausible,1,"{'sen_id': 82, 'sentence': 'Tactic acknowledges concern.', 'predicted_mentions': [{'sentence_offset': [7, 19], 'trigger_words': 'acknowledges', 'trigger_confidence': 0.9578389525413513, 'event_type': {'xpo_node': 'DWD_Q3422036', 'name': 'recognition', 'description': 'process whereby a man is recognised as the father of a child'}, 'event_confidence': 0.9897451996803284}]}"
Society secures size.,implausible,0,"{'sen_id': 83, 'sentence': 'Society secures size.', 'predicted_mentions': [{'sentence_offset': [8, 15], 'trigger_words': 'secures', 'trigger_confidence': 0.534121572971344, 'event_type': {'xpo_node': 'DWD_Q978423', 'name': 'hardening', 'description': 'process of securing a system by reducing its surface of vulnerability, which is larger when a system performs more functions; in principle a single-function system is more secure than a multipurpose one'}, 'event_confidence': 0.971123456954956}]}"
Center elevates ammunition.,implausible,1,"{'sen_id': 84, 'sentence': 'Center elevates ammunition.', 'predicted_mentions': [{'sentence_offset': [7, 15], 'trigger_words': 'elevates', 'trigger_confidence': 0.986512303352356, 'event_type': {'xpo_node': 'DWD_Q746418', 'name': 'liberalization', 'description': 'in general, the relaxation of previous government restrictions'}, 'event_confidence': 0.7634860277175903}]}"
Alliance derives rupee.,implausible,0,"{'sen_id': 85, 'sentence': 'Alliance derives rupee.', 'predicted_mentions': [{'sentence_offset': [9, 16], 'trigger_words': 'derives', 'trigger_confidence': 0.9584038257598877, 'event_type': {'xpo_node': 'DWD_Q728001', 'name': 'derivation', 'description': 'in linguistics, the process of forming a new word on the basis of an existing one'}, 'event_confidence': 0.9400362372398376}]}"
Person despise dozen.,implausible,0,"{'sen_id': 86, 'sentence': 'Person despise dozen.', 'predicted_mentions': []}"
Foundation helps person.,plausible,1,"{'sen_id': 87, 'sentence': 'Foundation helps person.', 'predicted_mentions': [{'sentence_offset': [11, 16], 'trigger_words': 'helps', 'trigger_confidence': 0.972805380821228, 'event_type': {'xpo_node': 'DWD_Q107280686', 'name': 'humanitarian_activity', 'description': 'human activity involving assistance to others and improvement of conditions for humanity'}, 'event_confidence': 0.9676517844200134}]}"
Fleet regenerates notebook.,implausible,1,"{'sen_id': 88, 'sentence': 'Fleet regenerates notebook.', 'predicted_mentions': [{'sentence_offset': [6, 17], 'trigger_words': 'regenerates', 'trigger_confidence': 0.9669431447982788, 'event_type': {'xpo_node': 'DWD_Q193119', 'name': 'regeneration', 'description': 'biological process of renewal, restoration, and growth that makes genomes, cells, organisms, and ecosystems resilient to natural fluctuations'}, 'event_confidence': 0.8821354508399963}]}"
