label,text
1,Bottle ejaculate soda.
1,Policeman close window.
0,Ant squash pumpkin.
0,Infant lift elephant.
1,Scissors sever arm.
1,Bear attack turtle.
0,Chef catch air.
0,Chair scratch oil.
0,Rabbit chew diamond.
1,Nose puff oxygen.
0,Hand seize water.
0,Worm pet cat.
0,Knife clip pebbles.
1,Worm enter skyscraper.
1,Horse wear necklace.
1,Woman punch wolf.
0,Wool slash paper.
0,Worm heave pumpkin.
1,Man seize child.
0,Dog yank butterfly.
0,Man enter cup.
1,Engineer create pottery.
0,Rock puff smoke.
1,Man poke bread.
0,Air build bush.
0,Finger rub smoke.
1,Crane lift log.
1,Dog pet rabbit.
0,Fish shove child.
1,Zebra kill man.
0,Stick sever table.
0,Ant squash grape.
1,Hand hold pen.
1,Elephant pull boat.
0,Stick shove oil.
0,Woman grab oil.
1,Boy punch woman.
0,Girl grab stairs.
0,Man tear tree.
1,Cup pour milk.
0,Gas drag boat.
1,Chef clip hair.
0,Woman eat shovel.
1,Sword slice tree.
0,Rope attach turtle.
0,Bat strike water.
1,Water dampen beans.
1,Stove heat air.
0,Faucet squirt key.
0,Bear pet water.
0,Rabbit erect house.
1,Hand spin bottle.
0,Man wrestle worm.
0,Shovel peel cream.
1,Rope drag garbage.
0,Rain rub meat.
0,Dog draw computer.
1,Ship vent air.
1,Chef count beans.
1,Knife crop pillow.
1,Table rub shirt.
0,Woman smash skyscraper.
1,Needle hook fish.
1,Clown whisk milk.
0,Pillow etch pebbles.
1,Monkey rotate dog.
1,Truck move tree.
0,Spoon bend rock.
1,Woman choke rabbit.
0,Cat damage lake.
1,Hand rotate pen.
1,Boy punch bus.
1,Room vent smoke.
0,Woman climb dog.
0,Girl ride pin.
0,Ice warm food.
1,Dad clean plate.
0,Lion bend mountain.
0,Man knead scissors.
0,Worm pluck pumpkin.
1,Stick shove bear.
1,Wind chill student.
1,Lion cover infant.
1,Knife trim string.
1,Gorilla lick hand.
0,Infant choke gorilla.
0,Barber pack skyscraper.
1,Man tear apple.
0,Woman flip water.
1,Rock attack people.
0,Woman count air.
1,Dog haul cat.
1,Needle poke sink.
1,Woman slide ice.
0,Butterfly slide pebbles.
0,Bush lick frosting.
0,Child roll flour.
0,Bone fracture mud.
1,Chef grasp shirt.
1,Cat steal cloth.
0,Chef close leaf.
0,Cloth erase wind.
0,Cat stomp boat.
1,Dog yank trash.
0,Lake halt boat.
0,Sun chill fire.
0,Tube squirt spatula.
0,Worm film man.
1,Girl close book.
0,Bag bake chair.
0,Infant clench skyscraper.
1,Scissors clip magazine.
0,Rope fasten air.
0,Gorilla ride bowl.
0,Dentist drain rock.
0,Dagger mince vapor.
0,Glue fuse wind.
0,Student bury smoke.
1,Stick scratch arm.
0,Man drain ocean.
0,Ant slam door.
0,Shovel flip hill.
1,Dentist sew mittens.
0,Raft capsize ship.
0,Butterfly move gorilla.
0,Pen pierce flour.
0,Claw rip mud.
1,Glass damage hand.
0,Man fix water.
1,Tree hang necklace.
1,Girl vomit pea.
0,Women kiss air.
0,Rabbit drive train.
0,Rock slam lake.
0,Cat kick air.
1,Bush bury rice.
0,Food poison laptop.
1,Elephant rotate bowling.
0,Child pull air.
0,Pebbles crash shirt.
0,Smoke poison banana.
0,Cloth mask skyscraper.
0,Elephant squash water.
0,Woman tug paper.
0,Man flip wind.
0,Man build woman.
1,Bottle spill rice.
1,Woman drop pin.
0,Man roll car.
1,Spider poison dolphin.
0,Man swallow desk.
0,Pipe pour legos.
0,Hand grasp oil.
0,Child fish fire.
0,Child whisk spatula.
1,Elephant choke policeman.
1,Spoon slash paper.
0,Bowl hold gorilla.
1,Clown smash cat.
1,Rock damage table.
0,Wrench fix wolf.
1,Clown shake car.
0,Girl swallow desk.
0,Beak tap smoke.
1,Pin etch house.
1,Mallet flatten pumpkin.
0,Woman fish house.
1,Water dampen purse.
1,Dog destroy pillow.
1,Rock etch building.
1,Child wear shirt.
1,Sun heat water.
0,Oil rub mud.
0,Chef cook wind.
0,Victim attack rock.
1,Chef breed dog.
0,Lion squash water.
0,Dolphin poison chair.
0,Jaw crush rock.
0,Milk slam cup.
0,Rabbit hug smoke.
0,House eat man.
0,Bug fish shark.
0,Ant drive car.
0,Ant hook stick.
1,Worker build school.
0,Girl pluck truck.
1,Student pack water.
1,Oil dampen house.
1,Wolf stomp chair.
1,Skyscraper crash laptop.
1,Bone fracture ice.
1,Man grope stranger.
1,Car hurl truck.
0,Air dig mud.
1,Elephant haul truck.
0,Gorilla grab air.
0,Wool freeze smoke.
0,Pillow tear shirt.
0,Sponge absorb sunlight.
1,Barber pack book.
0,Beak scratch oil.
0,Boy punch oil.
1,Club crush egg.
1,Saw mince meat.
1,Man stomp spoon.
0,Finger tap milk.
0,Police hold ship.
0,Boy punch smoke.
0,Person grope fire.
1,Baker bite cake.
0,Knife tear rock.
1,Elephant stomp girl.
0,Pebbles strike cloud.
1,Elephant tackle bus.
0,Bottle contain elephant.
1,Ice freeze dog.
1,Hand tap scooter.
0,Cloud flatten cup.
1,Toe push basketball.
1,Glue attach note.
1,Ac cool water.
0,Dog steal elephant.
0,Knife slice vapor.
0,Hand pierce worm.
0,Ant hug atom.
1,Woman construct puzzle.
0,Nail scratch air.
0,Pillow peel banana.
0,Scissors etch water.
0,Smoke freeze water.
1,Zebra kill dolphin.
0,Paper sever dough.
1,Finger tick cat.
1,Man grab grape.
0,Gas draw illustration.
0,Elephant enter bowl.
0,Cat breed cow.
0,Dog burn ham.
0,Chair hit cloud.
0,Girl fix air.
1,Ant lift pin.
0,Tongue lick smoke.
0,Dirt clean room.
1,Man breed cat.
1,Rope hook stick.
0,Air halt traffic.
0,Woman drink cup.
0,Ball hurl trolley.
1,Pillow mask infant.
1,Ant tackle ant.
1,Girl leak blood.
0,Smoke hit pillow.
0,Oil wet water.
1,Cream attach sticker.
0,Table drink beer.
1,Purse contain scissors.
0,Dentist tear knife.
0,Knife poke air.
1,Cat flip pin.
0,Man breed water.
1,Girl sew blanket.
1,Cat vomit ant.
0,House poke sink.
0,Lion swallow house.
1,House leak gas.
1,Boat cover scissors.
0,Ant spin scissors.
0,Knife smash bone.
1,Man strike dog.
1,Monkey peel apple.
1,Dog shake monkey.
0,Stick hang water.
1,Infant count pebbles.
0,Rock strike cloud.
0,Pillow etch rock.
1,Chef burn cake.
0,Man capsize house.
0,Elephant hug water.
1,Hands drag log.
1,Man whisk gravy.
1,Elephant toss boat.
0,Tree punch dog.
1,Hand rip rug.
0,Butterfly tug table.
1,Chef fold paper.
0,Man push oil.
1,Dentist erect cake.
0,Bowl spill paper.
1,Man push chair.
0,Cream freeze fire.
1,Woman grasp shirt.
1,Son catch thief.
1,Scissors erase text.
0,Ant hold earplug.
1,Mud feed worm.
0,Air cut water.
1,Oil wet car.
1,Hook fish chair.
0,Child throw vapor.
0,Rabbit drop elephant.
0,Hand peel pebbles.
0,Kid squash table.
1,Man swallow pill.
0,Spatula flatten tire.
0,Worm roll log.
0,Woman knit book.
1,Arrow pierce tongue.
1,Chef slam door.
0,Student count water.
0,Policeman hold boat.
1,Bullet pierce cheese.
1,Panda choke dolphin.
0,Oil close bottle.
0,Snow warm wool.
1,Monkey peel tree.
0,Dog fry meat.
1,Man grab bike.
0,Calculator count water.
1,Man breed fish.
1,Man rub pen.
0,Shirt peel banana.
0,Water crash house.
1,Oil wet house.
0,Wolf toss elephant.
0,Policeman cook stove.
1,Policeman hold scissors.
0,Bear smash rust.
0,Pillow crash bike.
0,Woman cook beer.
1,Bird fish boot.
0,Straw bend body.
1,Lion roll rock.
1,Girl dig sand.
1,Mallet damage house.
1,Stove cook monkey.
0,Dog close chair.
0,Fish throw elephant.
0,Girl toss bear.
0,Child grasp smoke.
0,Rabbit bend table.
1,Gorilla puff vapor.
0,Bug drag cat.
1,House absorb rain.
1,Lion heave log.
0,Man kick moon.
1,Pin slash skin.
0,Man carry elephant.
1,Mayor jail clown.
0,Ant wrestle student.
1,Man toss shirt.
1,Lion vomit mud.
0,Grass dig dirt.
0,Mouth puff water.
1,Hand lengthen rabbit.
1,Girl wrestle student.
1,Bird fish pumpkin.
0,Student clench air.
1,Barber pack laptop.
1,Monkey roll log.
1,Dog tick monkey.
0,Elephant rotate desert.
0,Spider poison box.
0,Butterfly wear carpet.
0,Turtle breed dog.
1,Horse yank wolf.
1,Horse flip cat.
1,Chef open bottle.
0,Rock fracture shirt.
0,Bottle ejaculate man.
1,Woman knit sweater.
1,Chef punch wall.
0,Worm swallow book.
0,Branch slash cleaver.
1,Chef rub pen.
1,Arms drag bag.
0,Pillow cut bread.
1,Spoon rip dough.
1,Scissors trim pillow.
1,Clown clean boat.
1,Kid construct chair.
1,Child chew toothpick.
0,Student eat lake.
1,Flea bite dog.
1,Cat lick frosting.
1,Woman fix wheel.
1,Monkey steal shirt.
1,Scissors attack policeman.
0,Worm move cat.
1,Horse tug dumbbell.
1,Bear carry cable.
1,Car cover food.
1,Mud mask face.
0,Ac cool fire.
1,Monkey close door.
0,Cup chop scissors.
0,Table heat food.
1,Mud fill sink.
1,Cat swallow pin.
1,Wood knead flour.
0,Acid beat coal.
1,Man shake door.
0,Cat flip man.
1,Cat destroy shirt.
1,Air chill lion.
0,Scissors dump house.
0,Horse fill cup.
0,Wool chafe milk.
0,Cat knead elephant.
1,Chef exhale air.
0,Air knead hay.
0,Water pierce tongue.
0,Man bite water.
0,Bug catch dog.
0,Nail fasten rain.
0,Knife slice rock.
1,Hand fasten rabbit.
0,Water slam cup.
0,Wolf jail cake.
0,Sword hurt skyscraper.
1,Woman enter room.
0,Pipe puff window.
1,Laptop count cup.
0,Child sew boat.
1,Milk wet sand.
1,Ape kiss remote.
1,Child spin dog.
1,Sun heat rust.
1,Man hurl monkey.
0,Air dig ground.
0,Pipe ejaculate wind.
1,Dog lick hand.
0,Paper flatten cake.
1,Dog tackle rabbit.
0,Monkey steal mountain.
1,Woman create child.
0,Hand rip table.
1,Train crash computer.
0,Elephant yank pea.
0,Wood fracture rock.
0,Milk wet pond.
1,Man tick elephant.
0,Dog yank ant.
0,Man drink ocean.
1,Child roll wheels.
0,Mud tap cloud.
0,Knife sharpen shirt.
0,Student climb water.
0,Lion construct cat.
0,Truck haul pin.
1,Crow snatch beans.
0,Man leak wind.
0,Boat hurl house.
1,Dog yank shirt.
0,Air knead cake.
1,Chainsaw trim tree.
0,Neck hang train.
1,Stick shove snake.
0,Shirt mince bread.
1,Chef grip bread.
0,Man spill rock.
1,Knife damage pillow.
1,Elephant stroke tree.
1,Dog climb stairs.
0,Ice freeze smoke.
1,Infant draw bear.
1,Sword fracture glass.
1,Ant seize pin.
1,Dog stretch dough.
0,Gorilla fry meat.
1,Water dampen cloth.
1,Hand seize book.
1,Policeman halt bowling.
1,Dentist capsize ship.
1,Screwdriver fix house.
0,Cotton slash paper.
1,Banker count egg.
1,Elephant roll rock.
1,Chef peel skin.
0,Ant tug table.
1,Cow open wardrobe.
1,Cat steal turtle.
1,Clown chop cream.
1,Coach cut bread.
1,Horse tackle man.
0,Dog choke bear.
0,Water mask hand.
1,Boat flatten cup.
1,Feather tick horse.
0,Man fish air.
0,Knife erase pond.
1,Finger scratch mud.
1,Man clip grass.
1,Baby pet cat.
0,Water close door.
0,Rock hit fire.
1,Brick hurt wolf.
1,Shovel erase mud.
0,Scissors clip rock.
0,Hand wear wool.
1,Stove bake dolphin.
1,Horse tackle turtle.
1,Man slam window.
1,Cat flip egg.
1,Pen sever cloth.
0,Ant shake door.
1,Hose squirt juice.
1,Stove warm foot.
0,Fire crop pants.
0,Worm shake door.
0,Paper absorb sand.
1,Hand throw cat.
0,Girl curb smoke.
0,Foot squash plane.
1,Cloth erase cream.
1,Finger tap plane.
1,Chisel scrape table.
0,Fox snatch lion.
0,Cake feed arm.
0,Mouth puff mud.
0,House contain wind.
0,Child shake house.
1,Pin sever dough.
1,Scissors destroy shirt.
1,Truck move pebbles.
0,Cat wrestle leaf.
0,Elephant push needle.
0,Girl drive elephant.
0,Girl clip oil.
0,Purse contain lion.
1,Brother heave bag.
0,Dog stomp man.
0,Pumpkin chop bike.
0,Pillow cover vehicle.
0,Oil dampen rain.
0,Straw bend egg.
0,Lion fix car.
0,Smoke open window.
1,Ant tug leaf.
0,Rock sharpen water.
1,Policeman sew curtain.
1,Plane squash house.
1,Glue fuse chair.
1,Clown close house.
1,Girl clench bike.
1,Woman grip cloth.
0,Knife trim house.
1,Child jail rabbit.
0,Cat strike pond.
0,Hand grip stove.
0,Wool build laptop.
0,Elephant breed gorilla.
0,Rabbit erect building.
1,Monkey slide pebbles.
0,Child snatch car.
0,Claw seize air.
0,Rope sew dress.
1,Goat eat rice.
0,Monkey hug pen.
1,Knife pierce board.
1,Scissors pierce board.
1,Dolphin kiss egg.
0,Nail scratch smoke.
0,Horse throw elephant.
0,Dog jail dolphin.
0,Sun cool water.
0,Dog lick wind.
0,Scissors scrape oil.
0,Dog climb cake.
1,Dog ride monkey.
0,Vapor wet ocean.
0,Woman eat wind.
0,Dog fold chair.
1,Arm fasten man.
0,Worm bake cake.
0,Wolf tackle elephant.
0,Man chew desk.
0,Man slide bus.
1,Air cool house.
0,Mud clean room.
0,Pipe puff sand.
1,Boat vent air.
1,Man hug child.
1,Car cover face.
1,Gorilla close stove.
1,Child whisk dust.
0,Ant build frame.
0,Car push leaf.
1,Tape fuse stick.
0,Stick rip pebbles.
1,Pencil hang shirt.
0,Girl kill book.
1,Spatula rip dough.
1,Girl damage cup.
0,Ant hook mud.
0,Camel fill bowl.
0,Hand stroke cloud.
0,Clown drain air.
1,Ice freeze water.
0,Brick crash pillow.
0,Woman tug leaf.
0,Ant stretch pillow.
0,Wolf haul ant.
1,Closet chafe girl.
1,Pebbles attach sticker.
1,Bear hug table.
1,Spoon etch wheel.
1,Knee chafe dog.
0,Butterfly open rock.
0,Finger hang oil.
0,Woman drop wind.
0,Dog film sofa.
0,Dog jail person.
1,Cake feed clown.
1,Man beat boxer.
0,Child shake skyscraper.
0,Rabbit hug air.
0,Woman clip dog.
1,Tiger heave door.
0,Man fold elephant.
0,Woman drop gas.
0,Monkey shake elephant.
0,House capsize ship.
0,Bottle leak bowl.
0,Rock hurl trolley.
0,Bullet pierce ant.
0,Sword slash water.
1,Axe chop lettuce.
0,Smoke freeze wolf.
1,Vapor wet car.
1,Hand pierce leaf.
0,Tree kick table.
1,Knife crop shirt.
1,Dog drop spatula.
0,Faucet squirt pumpkin.
1,Rock flatten shirt.
0,Hand rotate milk.
1,Bottle leak water.
1,Hose squirt milk.
1,Finger close oven.
0,Neck hang boat.
1,Hand grasp paper.
1,Cloth erase dirt.
1,Rope stroke cat.
0,Tube ejaculate laptop.
1,Child pull boat.
1,Child chew gum.
0,Dolphin lick wind.
0,Rabbit bake turkey.
1,Chef film cake.
0,Student carry air.
0,Stick slam oil.
0,Chair build lake.
0,Man rub water.
1,Child fix laptop.
0,Hand tear table.
0,Elephant roll house.
0,Bottle spill air.
1,Water feed horse.
0,Chef fry cream.
0,Child jail cake.
0,Man clip water.
0,Bottle ejaculate gas.
1,Hand peel apple.
0,Elephant tug pea.
1,Spatula flatten worm.
0,Worm wrestle student.
0,Ant throw dog.
1,Hay construct house.
1,Enemy choke squirrel.
0,Rock yank skyscraper.
0,Table squirt water.
0,Tube squirt pen.
1,Arm hold monkey.
0,Woman dump wind.
1,Donkey kick sand.
0,Cup kiss remote.
0,Lion create girl.
1,Scissors crop pants.
0,Worm open door.
0,House absorb air.
1,Man wrestle gorilla.
0,Hand wear carpet.
0,Girl clench water.
0,Air warm cream.
0,Finger trim pillow.
0,Worm lengthen dough.
0,Man drive skyscraper.
1,Fist tap finger.
1,Pot beat hands.
0,Student choke banana.
1,Dolphin kiss fish.
0,Marker fuse house.
1,Bug climb mountain.
1,Girl create infant.
1,Water wet book.
1,Mouth chew apple.
1,Clown erect pen.
1,Cup pour sand.
1,Calculator count cup.
0,Girl pluck cream.
0,Clown choke chair.
1,Woman vomit pea.
0,Hand hurl air.
0,Shovel flip mountain.
1,Child film water.
1,Policeman count cat.
0,Girl peel key.
1,Boy punch box.
1,Policeman shake door.
0,Brother hurt book.
1,Girl count rice.
0,Laptop pet rabbit.
0,Crow snatch tree.
0,Bug film man.
1,Pipe leak water.
1,Lion wrestle bear.
1,Teeth chew lip.
0,Crane lift pea.
1,Dog puff vapor.
0,Horse create skyscraper.
1,Fist break hand.
0,Man flip air.
0,Elephant ride monkey.
1,Car flatten cup.
1,Woman whisk milk.
1,Fox snatch pen.
1,Clown halt person.
0,Hand grope air.
0,Hand stretch knife.
0,Man hit lake.
1,Man wrestle dog.
1,Chef bend pin.
1,Shark kill girl.
0,Women kiss smoke.
1,Beak scratch hand.
0,Monkey fry cake.
0,Shirt erase house.
0,Paper sharpen knife.
1,Clown catch baboon.
1,Infant strike ball.
1,Cloth absorb oil.
1,Sword fracture bone.
1,Tiger heave horse.
1,Shirt catch knife.
1,Woman tug man.
0,Girl cover wind.
1,Spoon bend paper.
0,Man push air.
1,Cat stomp worm.
1,Woman wrestle student.
1,Bear bury dentist.
1,Laptop absorb oil.
0,Cup trim rabbit.
0,Hand grab house.
1,Girl kill dog.
1,Car push bear.
0,Woman dump air.
1,Clown climb house.
1,Tongue lick bear.
0,Man clean mud.
1,Oil fry lizard.
1,Child jail monkey.
0,Dentist cook beer.
0,Pillow hurt man.
1,Bear smash glass.
1,Needle sew dress.
1,Chef create table.
1,Dog throw rabbit.
1,Girl flip rabbit.
0,Air chafe student.
0,Beaver build computer.
1,Cheetah eat apple.
0,Clown destroy air.
1,Cream fill tub.
1,Shovel erase paint.
0,Ant seize cat.
1,Screwdriver scrape plane.
1,Hand wear glove.
1,Finger hook shirt.
1,Cloth mask chair.
0,Rock film skyscraper.
1,Oven warm elephant.
0,Girl break smoke.
1,Man hurl woman.
0,Chair absorb pin.
1,Shovel drain sink.
0,Balloon leak rain.
0,Wind mask computer.
0,River fuse tie.
0,Girl burn desert.
1,Knife bend spatula.
0,House fill plate.
1,Man erect tree.
0,House cool bike.
1,Clown bite chair.
0,Fish breed cat.
1,Skyscraper vent smoke.
1,Worm drink mud.
0,Clown chill bear.
1,Infant puff smoke.
0,Monkey fill cup.
1,Fire warm water.
0,Pillow mask elephant.
0,Monkey rotate bus.
1,Elephant tear wool.
0,Horse ride cat.
1,Girl hurt leg.
1,Student vomit pebbles.
0,Dog sew curtain.
0,Spatula erect horse.
1,Woman drink beer.
1,Baboon toss ant.
1,Gorilla open wardrobe.
1,Bear snatch pen.
1,Man close window.
1,Policeman construct puzzle.
0,Infant toss bear.
1,Child drop paper.
0,Worm bend rabbit.
0,Knife slice knife.
0,Officer jail book.
1,Arm hook spatula.
1,Butterfly tug leaf.
1,Man poke bear.
1,Clown drive truck.
1,Tube ejaculate mud.
0,Infant steal air.
0,Lion wrestle tree.
1,Dog move infant.
0,Dog clip magazine.
1,Hand roll cup.
0,Wheel bake beans.
1,Clown cook monkey.
0,Dog attack scooter.
0,Monkey grasp water.
0,Child tackle car.
0,Cup dump elephant.
0,Knife damage oil.
1,Dentist whisk sauce.
0,Man stomp horse.
1,Girl whisk dust.
1,Hand yank bone.
0,Dog fish lion.
0,Dog film milk.
1,Tube squirt oil.
1,Monkey choke dog.
0,House draw pumpkin.
1,Dog eat cat.
1,Monkey grab hand.
0,Dog attack feather.
0,Hand scrape table.
0,Cat vomit man.
1,Girl clip dog.
1,Pen draw water.
0,Pebbles hurt ocean.
0,Wind crush pebbles.
0,Dog puff milk.
1,Snake curb door.
1,Girl clench hand.
0,Stick hook water.
1,Mole bury cup.
0,Wall hook dolphin.
1,Gorilla tick elephant.
0,Shovel dig wind.
0,Cotton sever cloth.
1,Dentist chafe chef.
1,Helicopter lift weight.
0,Gas drag cart.
0,Elephant stroke ant.
1,Hand fold shirt.
0,Sun beat cereal.
1,Dentist chop mud.
0,Hand throw air.
0,Ant hurl woman.
0,Chef burn water.
1,Child rotate ball.
1,Women kiss bottle.
1,Air poison girl.
0,Girl construct cream.
