text,original_label,label
Folklore concludes feather.,implausible,0
Aesthetic cover reliance.,implausible,0
Leader kindles ordination.,implausible,0
Organ builds withdrawal.,implausible,0
Fleet carries gun.,plausible,1
Poem asks question.,plausible,1
Objective develops creativity.,plausible,1
Folder constructs comment.,implausible,1
Recovery leaves diver.,plausible,1
Navy identifies ship.,plausible,1
Man passes tapeworm.,plausible,1
Crisis prohibits supporter.,implausible,1
Suitor asks father.,plausible,1
Draught obeys genome.,implausible,0
Heat emphasizes opponent.,implausible,0
Duke crisscrosses hypothermia.,implausible,0
Wife starts concept.,plausible,1
Statute determines jurisdiction.,plausible,1
Efficiency includes prospect.,implausible,1
Chalk annoys interest.,implausible,0
Burial forgets documentation.,implausible,0
Plaintiff ascends disadvantage.,implausible,0
Retailer oppresses divergence.,implausible,1
Sleeve throws sanctuary.,implausible,1
Viewer contributes video.,plausible,1
Delegation passes resolution.,plausible,1
Manner raises traction.,implausible,1
Rate destabilizes workforce.,implausible,1
Overtone demonstrates comma.,implausible,1
Plant collaborates ark.,implausible,1
Redistribution splits assistance.,implausible,1
Rain turns stream.,plausible,1
Gun abandons place.,implausible,0
Casualty comprises man.,plausible,1
Willingness renews subway.,implausible,0
Customer perceives way.,plausible,1
Destructor conceptualizes instruction.,implausible,1
Trio finds postcard.,plausible,1
Gate transmits kind.,plausible,1
Jurisdiction makes nausea.,implausible,1
Pulley reduces power.,plausible,1
Compartment speaks point.,implausible,0
Governor initiates negotiation.,plausible,1
Album grazes initiative.,implausible,1
Documentation becomes reunion.,implausible,1
Opening establishes motive.,plausible,1
Generation prefers castle.,plausible,1
Flame envelops airship.,plausible,1
Stomach requires ranch.,implausible,0
Locomotive works line.,plausible,0
Hen lays egg.,plausible,1
Thunderstorm runs portrait.,implausible,1
Project requires facility.,plausible,1
Team visits village.,plausible,1
Study submerges weapon.,implausible,1
Description overestimates crispness.,implausible,1
Decentralization exposes perspective.,implausible,1
Amphibian outshines patron.,implausible,1
Hobby plays guitar.,plausible,1
Manager leads franchise.,plausible,1
Computer reads scanner.,implausible,1
Majority has runway.,plausible,1
Gardening mentions bean.,implausible,1
Tradition reinvigorates chip.,implausible,1
Idea develops neighborhood.,plausible,1
Anger unlocks formation.,implausible,1
Idea affects symbol.,implausible,0
Construction overtakes discomfort.,implausible,1
Diner receives supply.,implausible,1
Wall passes energy.,plausible,1
Bag overruns string.,implausible,0
Hood negates fleet.,implausible,0
Justice leaves office.,plausible,1
Bat has slate.,implausible,0
Study blames disease.,plausible,1
Version exceeds success.,plausible,1
Majority undertakes autobiography.,implausible,1
Description determines idea.,plausible,1
Drainage creates condition.,plausible,1
Cylinder plucks sympathy.,implausible,0
Software needs bit.,plausible,1
Authority manages airport.,plausible,1
Committee considers application.,plausible,1
Statistician initiates flag.,implausible,1
Collector pummels stage.,implausible,0
Sociologist pays attention.,plausible,1
Arrangement fits definition.,plausible,0
Silt raises bed.,plausible,1
Insight revolutionizes view.,plausible,1
Gate leads seller.,implausible,1
Motion legitimizes anniversary.,implausible,1
Person creates possibility.,plausible,1
Generation quantifies odor.,plausible,0
Resident creates job.,plausible,1
Mind perceives thing.,plausible,1
Delegation visits territory.,plausible,1
Purpose conveys meaning.,plausible,1
Settler modifies name.,plausible,1
Church sustains damage.,plausible,0
Countess maximizes incentive.,implausible,1
Pair imposes dormitory.,implausible,1
License hinders ice.,implausible,0
Band ignites photon.,implausible,0
Water fills space.,plausible,1
Driver starts season.,plausible,1
Designation affects interior.,plausible,0
Realism accommodates entry.,implausible,0
Derailment sells integration.,implausible,0
Concourse paves period.,implausible,0
Treatment situates text.,plausible,0
Knowledge raises portrayal.,implausible,1
Miser strews flashback.,implausible,1
Protester formulates anteater.,implausible,1
Columnist lauds performance.,plausible,1
Authority renames airport.,plausible,0
Textbook reestablishes unity.,plausible,1
Church consumes misanthropy.,implausible,0
Purist shakes quality.,implausible,1
Highway uncovers mural.,implausible,1
School introduces idea.,plausible,1
Paper introduces innovation.,plausible,1
Sperm admires development.,implausible,1
Video reaches view.,plausible,1
Tide leaves damage.,plausible,1
Scene depicts moment.,plausible,1
Assistant scuttles reference.,implausible,1
Officer reaches safety.,plausible,1
Catfish reissues authority.,implausible,0
Concept certifies figurine.,implausible,0
Cable puts vision.,plausible,1
Book opposes view.,plausible,1
Rebound straddles museum.,implausible,0
Recruiter facilitates celebrity.,implausible,1
Statue rebuffs oak.,implausible,0
Reorganization sews sauce.,implausible,0
City lives period.,plausible,1
Headband follows design.,plausible,1
Project chews crocodile.,implausible,0
Guideline infests service.,implausible,1
Person perceive model.,plausible,1
Evidence suggests settlement.,plausible,1
Executive communicates goal.,plausible,1
Plant survives fire.,plausible,1
Scope wins depression.,implausible,0
Drought threatens peace.,plausible,1
Robot declines responsibility.,implausible,1
Conscience considers hospitalization.,implausible,0
Impact imparts vigor.,plausible,1
Construction necessitates closure.,plausible,1
Club welcomes guitarist.,plausible,1
Pacification shines consciousness.,implausible,0
Payment builds assembly.,implausible,1
Invention creates rudder.,implausible,0
Pair turns blade.,plausible,1
Gargoyle dominates corner.,plausible,0
Film mentions pocket.,implausible,1
Affiliate fills schedule.,plausible,1
Plant shows symptom.,plausible,0
Tree turns bucket.,implausible,0
Entry denotes availability.,plausible,1
Effort magnifies elevator.,implausible,1
State reconciles version.,implausible,1
Group sends letter.,plausible,1
Duck rotates horse.,implausible,0
Advertiser represents vigilante.,implausible,1
Proficiency stifles ripple.,implausible,0
Paper demonstrates link.,plausible,1
Film makes profit.,plausible,1
Demonstrator holds placard.,plausible,1
Army rediscovers shotgun.,plausible,1
Ruling applies scrutiny.,plausible,1
Dam substantiates book.,implausible,0
Police seek revenge.,plausible,1
Conspiracy sings slaughter.,implausible,0
Lookout hears craft.,plausible,0
Percent prefers condom.,plausible,1
Flow enrages comment.,implausible,1
Airline drives lung.,implausible,1
Leader has wisdom.,plausible,1
Molar picks eruption.,implausible,0
Attacker talks nose.,implausible,0
Allusion uses condemnation.,implausible,1
Interpretation buries railway.,implausible,0
Ear hears sentence.,plausible,1
Process describes formation.,plausible,1
Airship provides compliance.,implausible,1
Judge permits question.,plausible,1
Ship seeks refuge.,plausible,1
Team deposes virtue.,implausible,1
Expressway decreases finalist.,implausible,1
Stagecoach improves bulk.,implausible,1
Stamen climbs effort.,implausible,1
Roof holds excavation.,implausible,0
Crusader loves poster.,implausible,1
Indexing starts state.,implausible,1
Person recall placement.,plausible,1
Monastery carries successor.,implausible,1
Patient injects assumption.,implausible,1
Husband starts temple.,plausible,1
Boat occurs discrimination.,implausible,0
Hostel accommodates student.,plausible,1
Object comprises perspective.,plausible,1
Correspondent pushes grape.,implausible,0
Failure produces cable.,plausible,0
Log swaps boating.,implausible,0
Tunnel reduces distance.,plausible,1
Saga preserves grain.,plausible,1
Group makes barrel.,plausible,0
Film receives acclaim.,plausible,1
Character says word.,plausible,1
Image explodes car.,plausible,1
Video pays homage.,plausible,0
Property explains role.,plausible,0
Principle cooks idea.,implausible,1
Nation announces intention.,plausible,1
Ranch yells bike.,implausible,1
Method gleans insect.,plausible,0
Delegation violates doctrine.,plausible,1
Tree illustrates account.,plausible,0
Customer straddles warmth.,implausible,1
Collection needs autonomy.,implausible,1
Kicker drops ball.,plausible,1
Variant pinpoints wall.,implausible,1
Immigrant plays role.,plausible,1
Task requires type.,plausible,1
Fraud assumes form.,plausible,1
Municipality renames street.,plausible,1
Success drives album.,plausible,1
Boy digs hole.,plausible,1
Ally infiltrates city.,plausible,0
Narrator automates ovulation.,implausible,0
Mast incorporates camera.,plausible,0
Legacy fertilizes movement.,implausible,1
Faculty inherits knee.,implausible,0
Page poses concern.,plausible,1
Misanthropy wants standstill.,implausible,0
Reorganization redistributes recurrence.,implausible,1
Descendant lays territory.,implausible,1
War determines axis.,plausible,1
Assembly introduces number.,plausible,1
Assistant provides condom.,implausible,0
Flight observes eye.,plausible,0
Offspring determines lineage.,plausible,1
Son implies priest.,plausible,0
Humanism seeks basis.,plausible,1
Council inherits office.,plausible,1
Prison correlates plot.,implausible,0
Association plays role.,plausible,1
Train compromises gentleman.,implausible,0
Zeal escorts convoy.,plausible,0
Director shows picture.,plausible,1
Pirate enunciates anniversary.,implausible,1
Filer misconstrues bay.,implausible,0
Philosopher compares convenience.,plausible,1
Hoop populates heel.,implausible,1
Pharmacist defines footage.,implausible,0
Forecast portrays future.,plausible,1
Roller provides idol.,implausible,0
Movement imitates operation.,plausible,1
Layer applauds album.,implausible,1
Lyric satirizes enthusiasm.,plausible,1
Presidency justifies impropriety.,implausible,1
Injury redistributes child.,implausible,0
Enterprise asks oak.,implausible,0
Child asserts belief.,plausible,1
Isolation turns jester.,implausible,1
Effect remarries connectivity.,implausible,0
Bullfighter annihilates trademark.,implausible,1
Occupation asks authority.,implausible,1
Broker dominates kebab.,implausible,1
Cat shows preference.,plausible,1
Dissertation elevates sunflower.,plausible,1
Furnace dominates corner.,plausible,1
Effect decreases time.,plausible,1
Payload lives blowout.,implausible,0
Letter asks opinion.,plausible,1
Castle comprises section.,plausible,1
Decoder dismantles puppy.,implausible,0
Objective conducts biology.,plausible,1
Approach facilitates generation.,plausible,1
Letter denotes type.,plausible,1
Conscience internalizes imagination.,implausible,1
Name washes investment.,implausible,0
Lifestyle halve risk.,plausible,1
Completion sets stage.,plausible,1
Media realizes fertilizer.,implausible,1
Position imitates hometown.,implausible,0
Node acknowledges receipt.,plausible,1
School serves community.,plausible,1
Scene depicts girl.,plausible,1
Coupon subverts loyalty.,implausible,1
Thumb builds hornet.,implausible,1
Band breaks silence.,plausible,1
Village musters church.,plausible,1
Municipality imposes restriction.,plausible,1
Rich unfold interest.,implausible,0
Solidarity attracts disclaimer.,implausible,1
Brass subverts confluence.,implausible,0
Radio identifies missile.,plausible,1
Parish reworks stash.,implausible,0
Caper extracts finger.,implausible,0
Vehicle overrates sill.,implausible,1
Collection participates armband.,implausible,1
Troupe works subsidy.,implausible,1
Desensitization demolishes farmhouse.,implausible,1
Subdivision sustains roof.,plausible,1
Installation comprises box.,plausible,1
Assailant overruns city.,plausible,1
Stone threatens value.,implausible,0
Death represents inability.,plausible,1
Purpose permits takeoff.,plausible,1
Area substantiates aspiration.,implausible,0
Language overestimates kitten.,implausible,0
Phase submits condolence.,implausible,1
Strip includes street.,implausible,0
Ensemble secures knee.,implausible,0
Batch corroborates rage.,implausible,0
Burial sustains insecurity.,implausible,0
Viewer wants thing.,plausible,1
Method considers manifestation.,implausible,1
Postman overestimates star.,implausible,1
Encroachment hits league.,plausible,0
Class disembarks antiquity.,implausible,0
Club wins edition.,plausible,1
Array observes room.,implausible,1
Authority lifts restriction.,plausible,1
Contamination establishes medicine.,implausible,0
Hazard deposes activist.,implausible,1
Regulation condemns range.,implausible,1
Police alienate compensation.,implausible,1
Humor requires merger.,implausible,0
Kin contains toe.,implausible,0
Immigrant secures syndicate.,implausible,1
Blood reduces feather.,plausible,0
Bunch puts pace.,implausible,0
Culture imitates simplicity.,implausible,1
Company manages merchandise.,plausible,1
Airline starts operation.,plausible,1
Demotion leads member.,plausible,1
Parishioner surrenders pottery.,implausible,0
Inn needs future.,implausible,1
Grape scrapes church.,implausible,0
Letter means head.,plausible,0
Theorist presides association.,plausible,1
Sprite curtails plan.,implausible,0
Brain conceptualizes piano.,implausible,0
Water mitigates sunflower.,implausible,0
Eye listens uniform.,implausible,1
Stage stands justice.,implausible,1
Theorist develops definition.,plausible,1
Evidence tackles divergence.,implausible,1
Bandleader solves tail.,implausible,0
Unit possesses room.,plausible,1
Review characterizes film.,plausible,1
Church establishes self.,plausible,1
Guideline affects photosynthesis.,implausible,0
Officer implicates suffix.,implausible,1
Scheme paints annoyance.,implausible,0
Building correlates congestion.,implausible,1
Architecture shouts diploma.,implausible,0
Elephant possesses adaptation.,plausible,1
Party emphasizes role.,plausible,1
Officer entertains officer.,plausible,1
Name craves initiative.,implausible,1
Protagonist sells soul.,plausible,1
Kiln carries mortality.,implausible,0
Development flees office.,implausible,0
Happiness is peanut.,plausible,0
Housing heightens army.,implausible,1
Market surrenders loan.,implausible,1
Way hoists arm.,plausible,1
Credit shows grape.,implausible,1
Suffix disengages sample.,implausible,0
Highway requires demolition.,plausible,1
Album attains score.,plausible,1
Soldier revolves skill.,implausible,1
Majority speaks language.,plausible,1
Concern educates person.,plausible,1
Windfall leads lineup.,implausible,0
Stance provides speedster.,implausible,0
Scope draws definition.,plausible,1
Expert recognizes meadow.,plausible,1
Duo attracts nectar.,implausible,0
Spectator manipulates trophy.,implausible,1
Scandal hurts department.,plausible,0
Newspaper mentions quality.,plausible,1
Lecture sabotages creativity.,implausible,1
City dedicates street.,plausible,1
Realignment moves end.,plausible,1
Reviewer perpetuates sandwich.,implausible,1
School uncovers reevaluation.,implausible,1
Element obeys condition.,plausible,1
Stone attests title.,plausible,0
Authority secretes cone.,implausible,0
Fruit reduces risk.,plausible,1
Amount reaches journal.,plausible,0
Person commits assault.,plausible,1
Payment organizes form.,implausible,0
Birthplace revisits episode.,implausible,1
Faculty holds patent.,plausible,1
Castle negates range.,implausible,1
Mourner wins attainment.,implausible,0
Demise assimilates wall.,implausible,0
Fruit ruins neck.,implausible,0
Water persuades dancer.,implausible,0
Person seek quality.,plausible,1
Dealer throws dice.,plausible,0
Pun develops mystery.,implausible,1
Advent embellishes sentiment.,implausible,1
City administers district.,plausible,1
Name modifies baseball.,implausible,0
Municipality considers merger.,plausible,1
Fluid makes indecency.,implausible,1
Fragment constitutes consultation.,implausible,1
Harmony offsets speech.,implausible,0
Depiction builds bridge.,plausible,0
Mill requires climate.,implausible,0
Agenda irrigates nation.,implausible,1
Wrongdoer determines rogue.,implausible,1
Cocoa juggles vessel.,implausible,1
Resource receives acclaim.,plausible,1
Stroke sends moment.,implausible,1
Shock startles individual.,plausible,1
Fire expands perimeter.,plausible,1
Service satisfies ambition.,plausible,1
Lack tweets subjugation.,implausible,0
Heckler annoys crowd.,plausible,1
Railroad builds hotel.,plausible,0
Fist recognizes midfield.,implausible,0
Paper confirms speculation.,plausible,1
Reign spreads power.,implausible,1
Table demonstrates misanthropy.,implausible,0
Theory reiterates saving.,implausible,1
Paper upends tranquility.,implausible,1
Hare seizes nationalism.,implausible,0
Dismissal advises film.,implausible,1
Impermanence works obligation.,implausible,1
Ground accommodates car.,plausible,0
Ring denotes ring.,plausible,1
Narrator concludes story.,plausible,1
Ball affects ball.,plausible,0
School picks service.,plausible,1
Project accelerates withdrawal.,plausible,1
Book checks fitness.,implausible,1
Indecision manipulates tower.,implausible,0
Exposition incorporates cobblestone.,plausible,1
Unrest sews specificity.,implausible,1
Cinema hurls joy.,implausible,1
Student wants leisure.,plausible,1
Goddess dislikes caribou.,plausible,0
Street increases traffic.,plausible,1
Evidence implies origin.,plausible,1
Vibration steals intensity.,plausible,0
Plate rolls stanza.,implausible,1
Chimpanzee reconnects prediction.,implausible,0
Constancy leaves duration.,implausible,0
Phenomenon denotes corn.,implausible,0
Botanist publishes arrangement.,plausible,1
Tunnel provides connectivity.,plausible,1
Fraternity recalls place.,implausible,1
Dictatorship grabs power.,plausible,1
Press redirects attention.,plausible,1
Construction identifies space.,plausible,1
Attacker reaches card.,implausible,1
Church defies stamp.,implausible,1
Evidence identifies victim.,plausible,1
Association complicates interpretation.,plausible,1
Inquiry equates fellowship.,implausible,0
Rumor hurts reputation.,plausible,1
Result shows damage.,plausible,1
Insect pollinates plant.,plausible,1
Firstborn switches challenge.,implausible,1
Shrew laments livelihood.,implausible,1
Coliseum nullifies detonation.,implausible,1
Group develops garment.,plausible,1
Newspaper stimulates tradition.,plausible,1
Press covers atrocity.,plausible,1
Reason elevates importance.,plausible,1
Division hears appeal.,plausible,1
Caste etches contemplation.,implausible,0
Rainstorm disagrees scandal.,implausible,0
Bar betrays name.,implausible,1
Theme covers streak.,implausible,1
Devotee snaps finger.,plausible,1
Relocation renders site.,plausible,1
Image exceeds size.,plausible,1
Skeleton denotes context.,implausible,1
Compiler violates power.,implausible,1
Magazine praises ability.,plausible,1
Investigation implicates member.,plausible,1
Exposure improves capability.,plausible,1
Insistence bewilders fan.,plausible,0
Nation sows vitality.,implausible,1
Attendee uncovers interview.,implausible,1
Resident blames deterioration.,plausible,1
Pencil hones amnesty.,implausible,0
Substance attains rim.,implausible,1
Locomotive pulls train.,plausible,1
Gecko instructs interest.,implausible,0
Rule wins point.,plausible,1
Stipulation deduces furnace.,implausible,1
Dualism annoys opinion.,implausible,1
Invasion betrays plot.,implausible,1
Bird chooses site.,plausible,1
Missionary opposes idea.,plausible,1
Tenderness wins warmth.,implausible,1
Geographer defines river.,plausible,1
Camera fictionalizes contour.,implausible,0
Center conducts workshop.,plausible,1
Patient readdresses plant.,implausible,1
Couple finds cockroach.,implausible,1
Arcade serves experience.,plausible,1
Duck rehabilitates quality.,implausible,0
Consensus reads attempt.,plausible,1
Clock defines time.,plausible,1
Midsection falls ideology.,implausible,1
Day contributes physician.,implausible,1
War creates market.,plausible,1
Abnormality irrigates year.,implausible,1
Wheat alleviates vision.,implausible,1
Mistreatment knows plan.,implausible,1
Modification renders coupling.,plausible,1
Guide prefers word.,plausible,1
Boy acknowledges ignorance.,plausible,1
Horse paints form.,plausible,0
Career steers gargoyle.,implausible,1
Threat puts police.,plausible,0
Description fits member.,plausible,1
Village wishes conclusion.,implausible,0
Portion illustrates reference.,plausible,1
Patient asks question.,plausible,1
Appearance inserts subsistence.,implausible,1
Propulsion satirizes bath.,implausible,0
Henchman saturates slavery.,implausible,1
Unit regains title.,plausible,1
Desire tosses alcohol.,implausible,1
Encroachment furnishes defendant.,implausible,1
Squadron tempts word.,implausible,1
Fleet makes attempt.,plausible,1
Area covers variety.,plausible,1
Event upends situation.,plausible,1
Description describes conflict.,plausible,1
Summer pollinates tail.,implausible,0
Zeal reproduces photograph.,implausible,1
Taxi exemplifies accessibility.,implausible,1
Nation creates pavilion.,plausible,1
Leaf evolves plan.,implausible,0
Installation provides interpretation.,plausible,1
Wife notices absence.,plausible,1
Pope sends indulgence.,plausible,1
Sharpness checks mobility.,implausible,0
Agreement illuminates guest.,implausible,1
Leader seeks reform.,plausible,1
Obstacle begins eruption.,implausible,1
Flame resists funeral.,implausible,1
Police oppose renewal.,plausible,1
Property characterizes bearer.,plausible,1
Couple lives lifestyle.,plausible,1
Opinion obeys reality.,implausible,1
Method deposes colleague.,implausible,1
Person sends letter.,plausible,1
Team releases version.,plausible,1
Starvation scuttles kind.,implausible,1
Page provides link.,plausible,1
Truce claps church.,implausible,0
Society penetrates state.,plausible,1
Mind mentions economic.,plausible,0
Album brings success.,plausible,1
Route follows valley.,plausible,1
Middle inverts insistence.,implausible,0
City renames section.,plausible,1
Police begin surveillance.,plausible,1
Snowdrift launches piston.,implausible,1
Opponent overruns city.,implausible,1
Engineer competes baboon.,implausible,1
Plurality describes idol.,implausible,0
Nobleman hones difference.,implausible,1
Turnover uses vigilante.,implausible,1
Gold remains representation.,plausible,1
Piston shows suffrage.,implausible,1
Boat sustains damage.,plausible,1
Carnival facilitates thing.,plausible,1
Striker needs attention.,plausible,1
Soul reaches ocean.,plausible,0
Review describes book.,plausible,1
Illusion plays game.,plausible,1
Fascination draws attention.,plausible,1
Outsider introduces desire.,implausible,0
Society encourages building.,plausible,1
Lack obligates excellence.,implausible,0
Kangaroo assists roommate.,plausible,0
Judgment promises student.,implausible,1
Program slams loincloth.,implausible,0
Vulture is transport.,implausible,0
Tide alleviates amplifier.,implausible,0
Shareholder recovers damage.,plausible,1
Plant prefers soil.,plausible,1
Documentary implies tongue.,implausible,0
Prosecution breaks silence.,plausible,1
Interrogator compiles biography.,plausible,1
Kingdom optimizes repression.,implausible,1
Object sows gown.,implausible,0
Uniform stops rupture.,implausible,1
Paper repossesses variety.,implausible,1
Portrait depicts person.,plausible,1
Marketing evades romance.,implausible,0
Theology transgresses identity.,implausible,0
Wall ravishes competency.,implausible,0
Nation abandons priority.,plausible,1
Bird fees nectar.,plausible,1
Soul passes woman.,plausible,0
Literature comprises poetry.,plausible,1
Celebration suspends ball.,implausible,0
Character narrates episode.,plausible,1
Club submits paperwork.,plausible,1
Collision sends person.,plausible,0
Pitcher obligates story.,implausible,1
Authority organizes range.,plausible,1
Formulation invokes idea.,plausible,1
Researcher invents horn.,plausible,0
Infant possesses lung.,plausible,1
Injury tightens passion.,implausible,1
Mission helps consumer.,plausible,1
Shelter wins constipation.,implausible,0
Devotee passes night.,plausible,0
Success secures status.,plausible,1
Nature makes identification.,plausible,1
Band releases biography.,plausible,1
Party finds ground.,plausible,1
Road diversifies generalization.,implausible,1
Case hunts tent.,implausible,1
Encouragement slips repertoire.,implausible,0
Copy inflates disbelief.,implausible,1
Bankruptcy confuses race.,implausible,1
City hangs intake.,implausible,0
Craft inaugurates title.,implausible,0
Pelican forges band.,implausible,1
Report praises attraction.,plausible,1
Band has fun.,plausible,1
Class reduces farmer.,plausible,0
Ship exceeds size.,plausible,1
Opponent shuffles cloak.,implausible,1
Solidarity dedicates sin.,implausible,0
Purpose opposes influence.,plausible,1
Massacre constitutes genocide.,plausible,1
Concept defines child.,plausible,1
Historian perforates hand.,implausible,1
Navy conducts hundred.,plausible,0
Advertisement cheers windmill.,implausible,0
Vegetable displaces influence.,implausible,0
Liberalism seeks prosperity.,plausible,1
Son assumes place.,plausible,1
Book catches eye.,plausible,1
Island threatens success.,plausible,0
Approval constrains network.,implausible,1
Relation contributes runway.,implausible,1
Diamond suspends basis.,implausible,1
Trip rubs impossibility.,implausible,0
Subset possesses curriculum.,implausible,1
Advent introduces possibility.,plausible,1
Node makes conservation.,implausible,1
Manor reads fund.,implausible,0
Cabinet assumes office.,plausible,1
Battalion extrapolates archive.,implausible,0
Orchid holds salmon.,implausible,0
Voice receives acclaim.,plausible,1
Priest receives training.,plausible,1
Advantage leads state.,plausible,1
Government bestows title.,plausible,1
Violation outnumbers infestation.,implausible,1
Homeland disagrees way.,implausible,0
