event	original_label	abstractness_combination	rating	majority_multiclass	distribution_multiclass	majority_binary	distribution_binary
album breaks genre	plausible	c-c-a	[5, 4, 4, 4, 4, 5, 4, 4, 2]	unsure	[0.0, 11.11111111111111, 66.66666666666666, 22.22222222222222]	1	[88.88888888888889, 11.11111111111111]
album brings success	plausible	c-m-a	[4, 5, 4, 4, 4, 5, 5, 5, 5, 4]	unsure	[0.0, 0.0, 50.0, 50.0]	1	[100.0, 0.0]
album draws title	plausible	c-c-m	[1, 4, 5, 4, 4, 5, 1, 2, 2, 4]	unsure	[20.0, 20.0, 40.0, 20.0]	unsure	[60.0, 40.0]
album introduces song	plausible	c-m-c	[5, 1, 1, 5, 4, 4, 5, 5, 5]	unsure	[22.22222222222222, 0.0, 22.22222222222222, 55.55555555555556]	1	[77.77777777777779, 22.22222222222222]
album makes debut	plausible	c-m-a	[5, 4, 2, 4, 2, 5, 5, 4, 5]	unsure	[0.0, 22.22222222222222, 33.33333333333333, 44.44444444444444]	1	[77.77777777777779, 22.22222222222222]
album transcends notion	plausible	c-a-a	[1, 5, 1, 2, 4, 5, 4, 1, 2, 5]	unsure	[30.0, 20.0, 20.0, 30.0]	unsure	[50.0, 50.0]
ally infiltrates city	plausible	a-m-c	[1, 1, 1, 2, 4, 2, 2, 4, 4]	unsure	[33.33333333333333, 33.33333333333333, 33.33333333333333, 0.0]	unsure	[33.33333333333333, 66.66666666666666]
ambition writes book	plausible	a-c-c	[4, 4, 1, 4, 4, 4, 1, 4]	unsure	[25.0, 0.0, 75.0, 0.0]	1	[75.0, 25.0]
amendment establishes wall	plausible	a-a-c	[4, 5, 4, 2, 5, 2, 5, 5]	unsure	[0.0, 25.0, 25.0, 50.0]	1	[75.0, 25.0]
amount exceeds value	plausible	a-a-a	[5, 5, 5, 5, 5, 5, 5, 4, 4]	5	[0.0, 0.0, 22.22222222222222, 77.77777777777779]	1	[100.0, 0.0]
amount reaches journal	plausible	a-c-c	[4, 2, 2, 1, 2, 4, 1, 4, 2, 2]	unsure	[20.0, 50.0, 30.0, 0.0]	0	[30.0, 70.0]
analysis illustrates difficulty	plausible	a-c-a	[2, 5, 2, 4, 5, 5, 4, 5, 4, 2]	unsure	[0.0, 30.0, 30.0, 40.0]	1	[70.0, 30.0]
anchor increases accuracy	plausible	c-m-a	[4, 5, 5, 2, 5, 1, 5, 4]	unsure	[12.5, 12.5, 25.0, 50.0]	1	[75.0, 25.0]
angel announces birth	plausible	m-c-c	[4, 5, 4, 5, 2, 5, 2, 5, 4]	unsure	[0.0, 22.22222222222222, 33.33333333333333, 44.44444444444444]	1	[77.77777777777779, 22.22222222222222]
ape holds mirror	plausible	c-c-c	[2, 2, 4, 4, 5, 4, 4, 2, 4, 2]	unsure	[0.0, 40.0, 50.0, 10.0]	unsure	[60.0, 40.0]
approach encourages person	plausible	a-m-c	[4, 4, 4, 5, 2, 1, 2, 5, 4]	unsure	[11.11111111111111, 22.22222222222222, 44.44444444444444, 22.22222222222222]	unsure	[66.66666666666666, 33.33333333333333]
approach facilitates generation	plausible	a-a-a	[5, 5, 4, 5, 2, 5, 4, 5, 5]	unsure	[0.0, 11.11111111111111, 22.22222222222222, 66.66666666666666]	1	[88.88888888888889, 11.11111111111111]
arcade serves experience	plausible	c-c-a	[5, 5, 4, 5, 4, 4, 4, 4, 4]	unsure	[0.0, 0.0, 66.66666666666666, 33.33333333333333]	1	[100.0, 0.0]
area covers variety	plausible	m-c-a	[5, 4, 2, 2, 2, 5, 4, 5, 4, 4]	unsure	[0.0, 30.0, 40.0, 30.0]	1	[70.0, 30.0]
area produces number	plausible	m-c-m	[4, 4, 4, 4, 4, 4, 4, 2]	unsure	[0.0, 12.5, 87.5, 0.0]	1	[87.5, 12.5]
area recognizes authority	plausible	m-a-a	[2, 4, 4, 4, 4, 2, 5, 4, 2]	unsure	[0.0, 33.33333333333333, 55.55555555555556, 11.11111111111111]	unsure	[66.66666666666666, 33.33333333333333]
area runs flock	plausible	m-c-c	[2, 4, 4, 4, 4, 1, 1, 4, 5]	unsure	[22.22222222222222, 11.11111111111111, 55.55555555555556, 11.11111111111111]	unsure	[66.66666666666666, 33.33333333333333]
army assumes posture	plausible	c-a-m	[4, 2, 5, 2, 5, 2, 5, 5, 5]	unsure	[0.0, 33.33333333333333, 11.11111111111111, 55.55555555555556]	unsure	[66.66666666666666, 33.33333333333333]
army rediscovers shotgun	plausible	c-a-c	[5, 4, 5, 5, 4, 5, 4, 1]	unsure	[12.5, 0.0, 37.5, 50.0]	1	[87.5, 12.5]
army seizes castle	plausible	c-c-c	[5, 1, 5, 4, 5, 5, 4, 4, 4]	unsure	[11.11111111111111, 0.0, 44.44444444444444, 44.44444444444444]	1	[88.88888888888889, 11.11111111111111]
arrangement possesses rigor	plausible	a-m-m	[2, 4, 2, 2, 4, 2, 4, 4]	unsure	[0.0, 50.0, 50.0, 0.0]	unsure	[50.0, 50.0]
assailant overruns city	plausible	m-m-c	[5, 5, 5, 5, 5, 4, 1, 5, 5, 5]	5	[10.0, 0.0, 10.0, 80.0]	1	[90.0, 10.0]
assembly develops constitution	plausible	m-a-m	[5, 4, 2, 2, 4, 4, 4, 5, 4, 4]	unsure	[0.0, 20.0, 60.0, 20.0]	1	[80.0, 20.0]
assembly introduces number	plausible	m-m-m	[2, 4, 5, 5, 4, 4, 5, 5, 4, 2]	unsure	[0.0, 20.0, 40.0, 40.0]	1	[80.0, 20.0]
association complicates interpretation	plausible	a-a-a	[1, 5, 4, 2, 5, 2, 4, 5]	unsure	[12.5, 25.0, 25.0, 37.5]	unsure	[62.5, 37.5]
astronaut chooses album	plausible	c-m-c	[4, 2, 4, 5, 4, 1, 4, 5, 2]	unsure	[11.11111111111111, 22.22222222222222, 44.44444444444444, 22.22222222222222]	unsure	[66.66666666666666, 33.33333333333333]
athleticism inspires effort	plausible	a-a-a	[4, 5, 4, 4, 2, 5, 5, 5, 5, 4, 5, 4]	unsure	[0.0, 8.333333333333332, 41.66666666666667, 50.0]	1	[91.66666666666666, 8.333333333333332]
attacker launches grenade	plausible	m-c-c	[5, 5, 1, 5, 4, 2, 4, 4]	unsure	[12.5, 12.5, 37.5, 37.5]	1	[75.0, 25.0]
attendee disengages norm	plausible	m-m-a	[4, 5, 4, 4, 4, 4, 4, 1, 4, 5]	unsure	[10.0, 0.0, 70.0, 20.0]	1	[90.0, 10.0]
attitude brings humor	plausible	a-m-a	[4, 5, 4, 1, 4, 4, 4, 5, 4, 5]	unsure	[10.0, 0.0, 60.0, 30.0]	1	[90.0, 10.0]
authority applies brand	plausible	a-m-m	[2, 5, 4, 4, 4, 4, 5, 1]	unsure	[12.5, 12.5, 50.0, 25.0]	1	[75.0, 25.0]
authority lifts restriction	plausible	a-c-a	[2, 2, 1, 5, 5, 2, 4, 4, 4]	unsure	[11.11111111111111, 33.33333333333333, 33.33333333333333, 22.22222222222222]	unsure	[55.55555555555556, 44.44444444444444]
authority manages airport	plausible	a-a-c	[2, 4, 5, 4, 5, 5, 4, 5, 4, 4]	unsure	[0.0, 10.0, 50.0, 40.0]	1	[90.0, 10.0]
authority organizes range	plausible	a-m-m	[5, 4, 5, 2, 4, 4, 4, 5, 5, 4]	unsure	[0.0, 10.0, 50.0, 40.0]	1	[90.0, 10.0]
authority renames airport	plausible	a-m-c	[5, 1, 4, 1, 4, 4, 5, 2, 4, 2]	unsure	[20.0, 20.0, 40.0, 20.0]	unsure	[60.0, 40.0]
authority stops man	plausible	a-c-c	[2, 5, 4, 2, 4, 5, 4, 5]	unsure	[0.0, 25.0, 37.5, 37.5]	1	[75.0, 25.0]
bacterium collects tooth	plausible	m-c-c	[1, 5, 2, 5, 5, 5, 4, 4, 1, 1]	unsure	[30.0, 10.0, 20.0, 40.0]	unsure	[60.0, 40.0]
bacterium consumes sugar	plausible	m-c-c	[2, 5, 4, 4, 4, 2, 2, 5, 4, 4]	unsure	[0.0, 30.0, 50.0, 20.0]	1	[70.0, 30.0]
ball comes way	plausible	c-m-a	[4, 4, 2, 4, 4, 4, 4, 5, 4, 4, 4]	unsure	[0.0, 9.090909090909092, 81.81818181818183, 9.090909090909092]	1	[90.9090909090909, 9.090909090909092]
ball denotes number	plausible	c-a-m	[4, 5, 4, 5, 1, 1, 5, 4]	unsure	[25.0, 0.0, 37.5, 37.5]	1	[75.0, 25.0]
band consists kid	plausible	c-a-c	[4, 5, 2, 5, 5, 1, 1, 2, 2, 5]	unsure	[20.0, 30.0, 10.0, 40.0]	unsure	[50.0, 50.0]
band has fun	plausible	c-a-a	[5, 4, 2, 5, 4, 5, 5, 4, 5]	unsure	[0.0, 11.11111111111111, 33.33333333333333, 55.55555555555556]	1	[88.88888888888889, 11.11111111111111]
band releases biography	plausible	c-c-m	[2, 4, 5, 2, 4, 5, 5, 5]	unsure	[0.0, 25.0, 25.0, 50.0]	1	[75.0, 25.0]
band reschedules tour	plausible	c-m-m	[1, 4, 5, 4, 4, 1, 1, 2, 4, 4]	unsure	[30.0, 10.0, 50.0, 10.0]	unsure	[60.0, 40.0]
band starts leg	plausible	c-m-c	[4, 2, 1, 4, 5, 5, 1, 5, 1, 2]	unsure	[30.0, 20.0, 20.0, 30.0]	unsure	[50.0, 50.0]
bandleader chooses member	plausible	c-m-m	[5, 5, 4, 4, 5, 4, 5, 4]	unsure	[0.0, 0.0, 50.0, 50.0]	1	[100.0, 0.0]
basis recognizes individual	plausible	a-a-m	[4, 4, 4, 5, 2, 4, 2, 2, 5, 2]	unsure	[0.0, 40.0, 40.0, 20.0]	unsure	[60.0, 40.0]
battleship turns attention	plausible	c-c-a	[4, 5, 5, 5, 5, 5, 4, 5, 5]	5	[0.0, 0.0, 22.22222222222222, 77.77777777777779]	1	[100.0, 0.0]
bird chooses site	plausible	c-m-c	[4, 5, 5, 5, 5, 4, 4, 4, 5]	unsure	[0.0, 0.0, 44.44444444444444, 55.55555555555556]	1	[100.0, 0.0]
bird commits suicide	plausible	c-a-m	[5, 5, 4, 4, 4, 4, 5, 1, 4]	unsure	[11.11111111111111, 0.0, 55.55555555555556, 33.33333333333333]	1	[88.88888888888889, 11.11111111111111]
bird fees nectar	plausible	c-c-c	[5, 5, 2, 1, 4, 5, 5, 4, 1]	unsure	[22.22222222222222, 11.11111111111111, 22.22222222222222, 44.44444444444444]	unsure	[66.66666666666666, 33.33333333333333]
blast leaves person	plausible	m-m-c	[4, 4, 4, 4, 2, 1, 4, 1, 2, 1]	unsure	[30.0, 20.0, 50.0, 0.0]	unsure	[50.0, 50.0]
blood reduces feather	plausible	c-a-c	[1, 2, 5, 4, 2, 5, 4, 1, 2, 1]	unsure	[30.0, 30.0, 20.0, 20.0]	unsure	[40.0, 60.0]
boat sustains damage	plausible	c-a-m	[4, 4, 5, 5, 5, 2, 4, 5]	unsure	[0.0, 12.5, 37.5, 50.0]	1	[87.5, 12.5]
body incorporates illness	plausible	c-a-m	[1, 1, 4, 5, 4, 5, 5, 4]	unsure	[25.0, 0.0, 37.5, 37.5]	1	[75.0, 25.0]
book catches eye	plausible	c-c-c	[2, 5, 4, 4, 1, 5, 4, 2]	unsure	[12.5, 25.0, 37.5, 25.0]	unsure	[62.5, 37.5]
book develops model	plausible	c-a-c	[5, 2, 5, 5, 4, 2, 5, 4]	unsure	[0.0, 25.0, 25.0, 50.0]	1	[75.0, 25.0]
book mentions person	plausible	c-m-c	[4, 1, 5, 4, 5, 4, 4, 5]	unsure	[12.5, 0.0, 50.0, 37.5]	1	[87.5, 12.5]
book opposes view	plausible	c-m-m	[4, 5, 2, 4, 4, 4, 4, 5, 1]	unsure	[11.11111111111111, 11.11111111111111, 55.55555555555556, 22.22222222222222]	1	[77.77777777777779, 22.22222222222222]
book receives acclaim	plausible	c-m-a	[5, 1, 4, 5, 5, 5, 4, 2, 4, 5]	unsure	[10.0, 10.0, 30.0, 50.0]	1	[80.0, 20.0]
boy acknowledges ignorance	plausible	c-a-a	[4, 5, 5, 5, 4, 5, 5, 5, 5]	5	[0.0, 0.0, 22.22222222222222, 77.77777777777779]	1	[100.0, 0.0]
boy digs hole	plausible	c-c-c	[5, 5, 4, 5, 5, 4, 5, 5, 5, 1]	5	[10.0, 0.0, 20.0, 70.0]	1	[90.0, 10.0]
boycott isolates scholar	plausible	a-m-m	[4, 5, 5, 5, 5, 5, 5, 4, 4, 5]	5	[0.0, 0.0, 30.0, 70.0]	1	[100.0, 0.0]
branch declares opposition	plausible	c-a-a	[4, 5, 5, 4, 5, 2, 4, 5]	unsure	[0.0, 12.5, 37.5, 50.0]	1	[87.5, 12.5]
button invokes function	plausible	c-a-a	[4, 5, 5, 4, 4, 1, 2, 4, 4]	unsure	[11.11111111111111, 11.11111111111111, 55.55555555555556, 22.22222222222222]	1	[77.77777777777779, 22.22222222222222]
cabinet assumes office	plausible	c-a-c	[5, 5, 5, 5, 5, 4, 4, 4, 2]	unsure	[0.0, 11.11111111111111, 33.33333333333333, 55.55555555555556]	1	[88.88888888888889, 11.11111111111111]
cable puts vision	plausible	c-m-m	[4, 4, 5, 1, 4, 4, 4, 4]	unsure	[12.5, 0.0, 75.0, 12.5]	1	[87.5, 12.5]
candidate opposes abortion	plausible	m-m-m	[5, 5, 5, 2, 5, 5, 1, 5]	5	[12.5, 12.5, 0.0, 75.0]	1	[75.0, 25.0]
candidate shows ability	plausible	m-c-a	[5, 5, 5, 5, 5, 5, 5, 5]	5	[0.0, 0.0, 0.0, 100.0]	1	[100.0, 0.0]
capability exceeds performance	plausible	a-a-m	[5, 4, 2, 5, 5, 4, 5, 5]	unsure	[0.0, 12.5, 25.0, 62.5]	1	[87.5, 12.5]
car praises performance	plausible	c-m-m	[1, 2, 4, 5, 4, 2, 4, 1, 1, 4]	unsure	[30.0, 20.0, 40.0, 10.0]	unsure	[50.0, 50.0]
card requires capability	plausible	c-a-a	[5, 4, 4, 4, 5, 5, 2, 4, 4]	unsure	[0.0, 11.11111111111111, 55.55555555555556, 33.33333333333333]	1	[88.88888888888889, 11.11111111111111]
carnival facilitates thing	plausible	c-a-m	[2, 4, 2, 4, 5, 5, 5, 2, 4, 2]	unsure	[0.0, 40.0, 30.0, 30.0]	unsure	[60.0, 40.0]
case illustrates parallelism	plausible	m-c-a	[1, 4, 2, 5, 5, 5, 4, 2]	unsure	[12.5, 25.0, 25.0, 37.5]	unsure	[62.5, 37.5]
castle follows arrangement	plausible	c-c-a	[4, 4, 5, 4, 4, 5, 2, 2, 4]	unsure	[0.0, 22.22222222222222, 55.55555555555556, 22.22222222222222]	1	[77.77777777777779, 22.22222222222222]
casualty comprises man	plausible	a-a-c	[4, 5, 4, 5, 5, 2, 5, 5, 1]	unsure	[11.11111111111111, 11.11111111111111, 22.22222222222222, 55.55555555555556]	1	[77.77777777777779, 22.22222222222222]
cat eats sardine	plausible	c-c-c	[5, 4, 5, 4, 2, 4, 5, 5]	unsure	[0.0, 12.5, 37.5, 50.0]	1	[87.5, 12.5]
cat shows preference	plausible	c-c-a	[4, 5, 4, 1, 4, 4, 5, 4]	unsure	[12.5, 0.0, 62.5, 25.0]	1	[87.5, 12.5]
catalyst splits water	plausible	a-c-c	[2, 1, 4, 2, 5, 2, 2, 5, 5, 4]	unsure	[10.0, 40.0, 20.0, 30.0]	unsure	[50.0, 50.0]
center conducts workshop	plausible	m-a-c	[1, 5, 4, 4, 5, 1, 5, 5, 5, 4]	unsure	[20.0, 0.0, 30.0, 50.0]	1	[80.0, 20.0]
challenger chooses value	plausible	a-m-a	[4, 5, 5, 4, 4, 4, 5, 5]	unsure	[0.0, 0.0, 50.0, 50.0]	1	[100.0, 0.0]
character narrates episode	plausible	a-m-m	[5, 4, 4, 5, 5, 4, 4, 5, 4, 4]	unsure	[0.0, 0.0, 60.0, 40.0]	1	[100.0, 0.0]
character portrays lawyer	plausible	a-a-c	[5, 1, 4, 2, 5, 4, 5, 5, 4]	unsure	[11.11111111111111, 11.11111111111111, 33.33333333333333, 44.44444444444444]	1	[77.77777777777779, 22.22222222222222]
character says word	plausible	a-m-m	[5, 5, 5, 4, 5, 2, 5, 5, 4]	unsure	[0.0, 11.11111111111111, 22.22222222222222, 66.66666666666666]	1	[88.88888888888889, 11.11111111111111]
character survives film	plausible	a-m-c	[4, 4, 5, 5, 4, 5, 5, 5, 4]	unsure	[0.0, 0.0, 44.44444444444444, 55.55555555555556]	1	[100.0, 0.0]
child invents mystery	plausible	c-m-a	[4, 5, 4, 4, 5, 4, 1, 4, 2, 5]	unsure	[10.0, 10.0, 50.0, 30.0]	1	[80.0, 20.0]
child pushes button	plausible	c-c-c	[5, 2, 5, 5, 4, 1, 4, 4]	unsure	[12.5, 12.5, 37.5, 37.5]	1	[75.0, 25.0]
child puts shoe	plausible	c-m-c	[5, 5, 4, 1, 5, 5, 4, 1, 5]	unsure	[22.22222222222222, 0.0, 22.22222222222222, 55.55555555555556]	1	[77.77777777777779, 22.22222222222222]
child receives money	plausible	c-m-c	[4, 2, 5, 5, 5, 5, 5, 5]	5	[0.0, 12.5, 12.5, 75.0]	1	[87.5, 12.5]
child submits application	plausible	c-m-m	[4, 2, 5, 2, 5, 4, 2, 4]	unsure	[0.0, 37.5, 37.5, 25.0]	unsure	[62.5, 37.5]
child survives abortion	plausible	c-m-m	[2, 1, 5, 5, 1, 1, 2, 1, 1]	unsure	[55.55555555555556, 22.22222222222222, 0.0, 22.22222222222222]	0	[22.22222222222222, 77.77777777777779]
childbirth decreases risk	plausible	m-m-a	[4, 5, 2, 1, 5, 5, 4, 4]	unsure	[12.5, 12.5, 37.5, 37.5]	1	[75.0, 25.0]
chin embraces infant	plausible	c-c-c	[4, 4, 4, 1, 4, 2, 4, 1, 2, 4]	unsure	[20.0, 20.0, 60.0, 0.0]	unsure	[60.0, 40.0]
choice treats water	plausible	a-c-c	[4, 1, 5, 1, 2, 1, 2, 1, 5]	unsure	[44.44444444444444, 22.22222222222222, 11.11111111111111, 22.22222222222222]	unsure	[33.33333333333333, 66.66666666666666]
church attaches importance	plausible	c-c-a	[5, 5, 4, 4, 5, 4, 5, 4, 2]	unsure	[0.0, 11.11111111111111, 44.44444444444444, 44.44444444444444]	1	[88.88888888888889, 11.11111111111111]
church establishes self	plausible	c-a-m	[5, 1, 5, 5, 4, 5, 4, 5, 1, 4]	unsure	[20.0, 0.0, 30.0, 50.0]	1	[80.0, 20.0]
church finds issue	plausible	c-m-a	[4, 4, 5, 4, 4, 4, 4, 4]	unsure	[0.0, 0.0, 87.5, 12.5]	1	[100.0, 0.0]
church preaches doctrine	plausible	c-c-a	[5, 4, 4, 5, 4, 5, 5, 5, 4]	unsure	[0.0, 0.0, 44.44444444444444, 55.55555555555556]	1	[100.0, 0.0]
cinema means film	plausible	c-m-c	[5, 5, 5, 4, 5, 5, 4, 4, 4]	unsure	[0.0, 0.0, 44.44444444444444, 55.55555555555556]	1	[100.0, 0.0]
city administers district	plausible	c-m-m	[4, 5, 4, 5, 4, 5, 5, 2, 1]	unsure	[11.11111111111111, 11.11111111111111, 33.33333333333333, 44.44444444444444]	1	[77.77777777777779, 22.22222222222222]
city considers variety	plausible	c-a-a	[1, 5, 5, 2, 4, 4, 5, 2, 4, 5]	unsure	[10.0, 20.0, 30.0, 40.0]	1	[70.0, 30.0]
city contributes member	plausible	c-a-m	[1, 4, 4, 4, 4, 4, 5, 4, 4]	unsure	[11.11111111111111, 0.0, 77.77777777777779, 11.11111111111111]	1	[88.88888888888889, 11.11111111111111]
city dedicates street	plausible	c-m-c	[5, 4, 5, 2, 5, 5, 4, 4, 5]	unsure	[0.0, 11.11111111111111, 33.33333333333333, 55.55555555555556]	1	[88.88888888888889, 11.11111111111111]
city expands boundary	plausible	c-c-m	[5, 5, 5, 5, 5, 5, 5, 4]	5	[0.0, 0.0, 12.5, 87.5]	1	[100.0, 0.0]
city lives period	plausible	c-c-m	[2, 5, 5, 5, 4, 2, 4, 4]	unsure	[0.0, 25.0, 37.5, 37.5]	1	[75.0, 25.0]
city renames section	plausible	c-m-m	[5, 5, 4, 5, 4, 4, 2, 5, 4, 4]	unsure	[0.0, 10.0, 50.0, 40.0]	1	[90.0, 10.0]
class rediscovers prosperity	plausible	m-a-a	[5, 4, 4, 4, 2, 5, 4, 5, 5, 1]	unsure	[10.0, 10.0, 40.0, 40.0]	1	[80.0, 20.0]
class reduces farmer	plausible	m-a-c	[4, 5, 1, 4, 2, 2, 1, 4]	unsure	[25.0, 25.0, 37.5, 12.5]	unsure	[50.0, 50.0]
class welcomes reservation	plausible	m-a-m	[2, 5, 4, 4, 4, 4, 4, 5, 1]	unsure	[11.11111111111111, 11.11111111111111, 55.55555555555556, 22.22222222222222]	1	[77.77777777777779, 22.22222222222222]
clock defines time	plausible	c-a-m	[1, 1, 5, 5, 5, 4, 1, 4, 5]	unsure	[33.33333333333333, 0.0, 22.22222222222222, 44.44444444444444]	unsure	[66.66666666666666, 33.33333333333333]
clock puts divergence	plausible	c-m-a	[4, 4, 4, 5, 4, 4, 5, 1, 5, 1]	unsure	[20.0, 0.0, 50.0, 30.0]	1	[80.0, 20.0]
club develops reputation	plausible	m-a-a	[2, 5, 4, 1, 4, 2, 5, 5, 5, 4]	unsure	[10.0, 20.0, 30.0, 40.0]	1	[70.0, 30.0]
club plays football	plausible	m-c-c	[1, 4, 1, 4, 5, 2, 4, 5, 5]	unsure	[22.22222222222222, 11.11111111111111, 33.33333333333333, 33.33333333333333]	unsure	[66.66666666666666, 33.33333333333333]
club plays season	plausible	m-c-m	[4, 4, 1, 5, 4, 5, 5, 4, 1]	unsure	[22.22222222222222, 0.0, 44.44444444444444, 33.33333333333333]	1	[77.77777777777779, 22.22222222222222]
club submits paperwork	plausible	m-m-c	[5, 5, 4, 4, 4, 2, 5, 5, 2, 5]	unsure	[0.0, 20.0, 30.0, 50.0]	1	[80.0, 20.0]
club welcomes guitarist	plausible	m-a-c	[4, 5, 5, 4, 4, 4, 2, 5, 5]	unsure	[0.0, 11.11111111111111, 44.44444444444444, 44.44444444444444]	1	[88.88888888888889, 11.11111111111111]
cluster requires pianist	plausible	m-a-c	[4, 4, 4, 5, 4, 1, 4, 1, 4, 4]	unsure	[20.0, 0.0, 70.0, 10.0]	1	[80.0, 20.0]
collaboration represents time	plausible	a-a-m	[4, 4, 5, 4, 5, 2, 5, 5, 5, 5]	unsure	[0.0, 10.0, 30.0, 60.0]	1	[90.0, 10.0]
collision sends person	plausible	m-m-c	[2, 5, 4, 2, 2, 2, 1, 2, 5]	unsure	[11.11111111111111, 55.55555555555556, 11.11111111111111, 22.22222222222222]	unsure	[33.33333333333333, 66.66666666666666]
coloration shows difference	plausible	a-c-a	[5, 4, 5, 5, 4, 5, 4, 4]	unsure	[0.0, 0.0, 50.0, 50.0]	1	[100.0, 0.0]
columnist lauds performance	plausible	m-a-m	[1, 4, 2, 4, 5, 5, 2, 5, 5]	unsure	[11.11111111111111, 22.22222222222222, 22.22222222222222, 44.44444444444444]	unsure	[66.66666666666666, 33.33333333333333]
combination wears situation	plausible	a-c-a	[4, 4, 2, 5, 2, 5, 4, 1, 1, 5]	unsure	[20.0, 20.0, 30.0, 30.0]	unsure	[60.0, 40.0]
comedian wants stage	plausible	m-a-c	[4, 5, 5, 4, 2, 4, 5, 5]	unsure	[0.0, 12.5, 37.5, 50.0]	1	[87.5, 12.5]
committee considers application	plausible	m-a-m	[2, 4, 4, 2, 1, 5, 5, 4, 4]	unsure	[11.11111111111111, 22.22222222222222, 44.44444444444444, 22.22222222222222]	unsure	[66.66666666666666, 33.33333333333333]
committee stands body	plausible	m-c-c	[1, 4, 4, 2, 1, 1, 4, 2, 5]	unsure	[33.33333333333333, 22.22222222222222, 33.33333333333333, 11.11111111111111]	unsure	[44.44444444444444, 55.55555555555556]
company announces plan	plausible	m-c-m	[5, 4, 5, 2, 5, 5, 4, 4]	unsure	[0.0, 12.5, 37.5, 50.0]	1	[87.5, 12.5]
company creates technology	plausible	m-m-m	[5, 5, 4, 4, 4, 5, 5, 5, 5]	unsure	[0.0, 0.0, 33.33333333333333, 66.66666666666666]	1	[100.0, 0.0]
