text,original_label,label,event_type,subject_types,object_types
Building postdates connotation.,implausible,1,"{'sen_id': 10, 'sentence': 'Building postdates connotation.', 'predicted_mentions': []}","[{'wd_qid': 'Q41176', 'wd_label': 'building', 'description': 'structure, typically with a roof and walls, standing more or less permanently in one place'}, {'wd_qid': 'Q6671777', 'wd_label': 'structure', 'description': 'arrangement and organization of interrelated elements in an object or system, or the object or system so organized'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q385378', 'wd_label': 'construction', 'description': 'activity that consists of the building or assembling of a building or infrastructure'}]","[{'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}, {'wd_qid': 'Q131841', 'wd_label': 'idea', 'description': 'mental image or concept'}]"
Presence impresses rearrangement.,implausible,1,"{'sen_id': 11, 'sentence': 'Presence impresses rearrangement.', 'predicted_mentions': []}","[{'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}, {'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q131841', 'wd_label': 'idea', 'description': 'mental image or concept'}]","[{'wd_qid': 'Q1150070', 'wd_label': 'change', 'description': 'process, event or action that deviates from the present state'}, {'wd_qid': 'Q1656682', 'wd_label': 'event', 'description': 'temporary and scheduled happening, like a conference, festival, competition or similar'}]"
Breach accelerates seat.,implausible,0,"{'sen_id': 12, 'sentence': 'Breach accelerates seat.', 'predicted_mentions': []}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q80994', 'wd_label': 'adult', 'description': 'living organism that has reached sexual maturity'}, {'wd_qid': 'Q352388', 'wd_label': 'driver', 'description': 'occupation, operator of motorized ground vehicles'}, {'wd_qid': 'Q6581097', 'wd_label': 'male', 'description': 'to be used in ""sex or gender"" (P21) to indicate that the human subject is a male'}]","[{'wd_qid': 'Q2207370', 'wd_label': 'seat', 'description': 'object for sitting on'}, {'wd_qid': 'Q4164871', 'wd_label': 'position', 'description': 'social role with a set of powers and responsibilities within a private or public organization or the state'}, {'wd_qid': 'Q98929991', 'wd_label': 'place', 'description': 'small area known by a geographical name'}, {'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q15026', 'wd_label': 'chair', 'description': 'piece of furniture for sitting on'}]"
Fraternity endures researcher.,implausible,1,"{'sen_id': 13, 'sentence': 'Fraternity endures researcher.', 'predicted_mentions': [{'sentence_offset': [11, 18], 'trigger_words': 'endures', 'trigger_confidence': 0.8059883117675781, 'event_type': {'xpo_node': 'DWD_Q14905957', 'name': 'endurance_training', 'description': 'exercising to increase physical endurance'}, 'event_confidence': 0.8371914625167847}]}","[{'wd_qid': 'Q43229', 'wd_label': 'organization', 'description': 'social entity established to meet needs or pursue goals'}, {'wd_qid': 'Q178706', 'wd_label': 'institution', 'description': 'structure or mechanism of social order and cooperation governing the behaviour of a set of individuals within a given community'}, {'wd_qid': 'Q16334295', 'wd_label': 'group of humans', 'description': 'any set of human beings'}, {'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q744745', 'wd_label': 'association', 'description': 'syntaxonomic rank'}]","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q2248623', 'wd_label': 'scholar', 'description': 'person who pursues academic and intellectual activities'}, {'wd_qid': 'Q702269', 'wd_label': 'professional', 'description': 'person who is paid to undertake a specialized set of tasks and to complete them for a fee'}]"
Album breaks genre.,plausible,1,"{'sen_id': 14, 'sentence': 'Album breaks genre.', 'predicted_mentions': []}","[{'wd_qid': 'Q638', 'wd_label': 'music', 'description': 'form of art using sound'}, {'wd_qid': 'Q482994', 'wd_label': 'album', 'description': 'collection of audio recordings'}, {'wd_qid': 'Q1241356', 'wd_label': 'record', 'description': 'quantified value of an event that is more extreme than that of all comparable events'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q13557414', 'wd_label': 'recording', 'description': 'process of capturing data or translating information to a recording format'}]","[{'wd_qid': 'Q638', 'wd_label': 'music', 'description': 'form of art using sound'}, {'wd_qid': 'Q483394', 'wd_label': 'genre', 'description': 'category of creative works based on stylistic, thematic or technical criteria'}, {'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]"
Man leaves hometown.,plausible,1,"{'sen_id': 15, 'sentence': 'Man leaves hometown.', 'predicted_mentions': [{'sentence_offset': [4, 10], 'trigger_words': 'leaves', 'trigger_confidence': 0.9593981504440308, 'event_type': {'xpo_node': 'DWD_Q101044775', 'name': 'farewell', 'description': 'used when people are leaving'}, 'event_confidence': 0.9853882193565369}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q6581097', 'wd_label': 'male', 'description': 'to be used in ""sex or gender"" (P21) to indicate that the human subject is a male'}, {'wd_qid': 'Q80994', 'wd_label': 'adult', 'description': 'living organism that has reached sexual maturity'}, {'wd_qid': 'Q8441', 'wd_label': 'man', 'description': 'male adult human'}, {'wd_qid': 'Q1020994', 'wd_label': 'citizen', 'description': 'member of a state and a community'}]","[{'wd_qid': 'Q98929991', 'wd_label': 'place', 'description': 'small area known by a geographical name'}, {'wd_qid': 'Q17334923', 'wd_label': 'location', 'description': 'position of something in space'}, {'wd_qid': 'Q19610511', 'wd_label': 'township', 'description': 'designation for an administrative territorial entity'}, {'wd_qid': 'Q11500', 'wd_label': 'area', 'description': 'quantity that expresses the extent of a two-dimensional surface or shape, or planar lamina, in the plane'}, {'wd_qid': 'Q515', 'wd_label': 'city', 'description': 'large permanent human settlement'}, {'wd_qid': 'Q3957', 'wd_label': 'town', 'description': 'settlement that is smaller than a city but bigger than a large village (or borough in some areas)'}, {'wd_qid': 'Q15284', 'wd_label': 'municipality', 'description': 'administrative division having corporate status and usually powers of self-government or jurisdiction'}]"
Population follows religion.,plausible,1,"{'sen_id': 16, 'sentence': 'Population follows religion.', 'predicted_mentions': [{'sentence_offset': [11, 18], 'trigger_words': 'follows', 'trigger_confidence': 0.9859639406204224, 'event_type': {'xpo_node': 'DWD_Q1456974', 'name': 'obedience', 'description': 'yielding to instructions from an authority figure'}, 'event_confidence': 0.7291005849838257}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q16334295', 'wd_label': 'group of humans', 'description': 'any set of human beings'}, {'wd_qid': 'Q9174', 'wd_label': 'religion', 'description': 'social-cultural system'}, {'wd_qid': 'Q874405', 'wd_label': 'social group', 'description': 'two or more humans who interact with one another'}]","[{'wd_qid': 'Q9174', 'wd_label': 'religion', 'description': 'social-cultural system'}, {'wd_qid': 'Q34394', 'wd_label': 'belief', 'description': 'psychological state in which an individual holds a proposition or premise to be true'}, {'wd_qid': 'Q5410500', 'wd_label': 'faith', 'description': 'belief in tenets of a religion'}]"
Director enriches excellence.,implausible,1,"{'sen_id': 17, 'sentence': 'Director enriches excellence.', 'predicted_mentions': []}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q1251441', 'wd_label': 'leader', 'description': 'someone with the authority to affect the conduct of others; who have the responsibility of leading'}, {'wd_qid': 'Q80994', 'wd_label': 'adult', 'description': 'living organism that has reached sexual maturity'}, {'wd_qid': 'Q358832', 'wd_label': 'administrator', 'description': 'Catholic Church administrator'}, {'wd_qid': 'Q702269', 'wd_label': 'professional', 'description': 'person who is paid to undertake a specialized set of tasks and to complete them for a fee'}]","[{'wd_qid': 'Q1207505', 'wd_label': 'quality', 'description': 'characteristic trait that differentiates an entity'}, {'wd_qid': 'Q5419420', 'wd_label': 'excellence', 'description': 'talent or quality which surpasses ordinary standards'}, {'wd_qid': 'Q7632586', 'wd_label': 'success', 'description': ""achievement of one's aim or goal""}, {'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}]"
Nominee carries district.,plausible,1,"{'sen_id': 18, 'sentence': 'Nominee carries district.', 'predicted_mentions': [{'sentence_offset': [8, 15], 'trigger_words': 'carries', 'trigger_confidence': 0.9830834865570068, 'event_type': {'xpo_node': 'DWD_Q61707958', 'name': 'carrying', 'description': 'lifting and transporting something'}, 'event_confidence': 0.9650457501411438}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q618536', 'wd_label': 'candidate', 'description': 'prospective recipient of an award or position'}, {'wd_qid': 'Q82955', 'wd_label': 'politician', 'description': 'person involved in politics; person who holds or seeks positions in government'}, {'wd_qid': 'Q80994', 'wd_label': 'adult', 'description': 'living organism that has reached sexual maturity'}, {'wd_qid': 'Q1251441', 'wd_label': 'leader', 'description': 'someone with the authority to affect the conduct of others; who have the responsibility of leading'}]","[{'wd_qid': 'Q98929991', 'wd_label': 'place', 'description': 'small area known by a geographical name'}, {'wd_qid': 'Q11500', 'wd_label': 'area', 'description': 'quantity that expresses the extent of a two-dimensional surface or shape, or planar lamina, in the plane'}, {'wd_qid': 'Q17334923', 'wd_label': 'location', 'description': 'position of something in space'}, {'wd_qid': 'Q183366', 'wd_label': 'territory', 'description': 'area of land under a certain jurisdiction'}, {'wd_qid': 'Q149621', 'wd_label': 'district', 'description': 'type of administrative division, in some countries'}]"
Government establishes relation.,plausible,1,"{'sen_id': 19, 'sentence': 'Government establishes relation.', 'predicted_mentions': [{'sentence_offset': [0, 10], 'trigger_words': 'Government', 'trigger_confidence': 0.8697977662086487, 'event_type': {'xpo_node': 'DWD_Q219160', 'name': 'couple', 'description': 'set of two people linked in a physical and emotional community'}, 'event_confidence': 0.639958381652832}, {'sentence_offset': [11, 22], 'trigger_words': 'establishes', 'trigger_confidence': 0.9666594862937927, 'event_type': {'xpo_node': 'DWD_Q11398090', 'name': 'creation', 'description': 'process during which something comes into being and gains its characteristics'}, 'event_confidence': 0.9371523261070251}, {'sentence_offset': [23, 31], 'trigger_words': 'relation', 'trigger_confidence': 0.9508122801780701, 'event_type': {'xpo_node': 'DWD_Q736922', 'name': 'intimate_relationship', 'description': 'physical or emotional intimacy between 2 or more humans'}, 'event_confidence': 0.8735992908477783}]}","[{'wd_qid': 'Q5283295', 'wd_label': 'administration', 'description': 'management of organization'}, {'wd_qid': 'Q174834', 'wd_label': 'authority', 'description': 'power to command'}, {'wd_qid': 'Q43229', 'wd_label': 'organization', 'description': 'social entity established to meet needs or pursue goals'}, {'wd_qid': 'Q7188', 'wd_label': 'government', 'description': 'system or group of people governing an organized community, often a state'}, {'wd_qid': 'Q178706', 'wd_label': 'institution', 'description': 'structure or mechanism of social order and cooperation governing the behaviour of a set of individuals within a given community'}, {'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}]","[{'wd_qid': 'Q43229', 'wd_label': 'organization', 'description': 'social entity established to meet needs or pursue goals'}, {'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}, {'wd_qid': 'Q7310741', 'wd_label': 'relationship', 'description': 'relationship in space and time between archaeological objects or contexts'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q7188', 'wd_label': 'government', 'description': 'system or group of people governing an organized community, often a state'}]"
Restriction poses challenge.,plausible,1,"{'sen_id': 20, 'sentence': 'Restriction poses challenge.', 'predicted_mentions': [{'sentence_offset': [0, 11], 'trigger_words': 'Restriction', 'trigger_confidence': 0.8873279094696045, 'event_type': {'xpo_node': 'DWD_Q99194287', 'name': 'censoring', 'description': 'activity of altering, deleting, or removing content in accordance with censorship guidelines'}, 'event_confidence': 0.9152355790138245}, {'sentence_offset': [18, 27], 'trigger_words': 'challenge', 'trigger_confidence': 0.8252065181732178, 'event_type': {'xpo_node': 'DWD_Q3665774', 'name': 'challenge', 'description': 'request made to the holder of a competitive title for a match between champion and challenger'}, 'event_confidence': 0.9792674779891968}]}","[{'wd_qid': 'Q12049270', 'wd_label': 'restriction', 'description': 'some limitation that has been put in place'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]","[{'wd_qid': 'Q12049270', 'wd_label': 'restriction', 'description': 'some limitation that has been put in place'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q621184', 'wd_label': 'problem', 'description': 'situation that invites resolution'}, {'wd_qid': 'Q16511806', 'wd_label': 'challenge', 'description': 'invitation to measure oneself against others, to confront them in a competition'}]"
Lack leads productivity.,plausible,1,"{'sen_id': 21, 'sentence': 'Lack leads productivity.', 'predicted_mentions': [{'sentence_offset': [0, 4], 'trigger_words': 'Lack', 'trigger_confidence': 0.9444867372512817, 'event_type': {'xpo_node': 'DWD_Q4580104', 'name': 'grout', 'description': 'mixture used to fill gaps and reinforce structures'}, 'event_confidence': 0.8204282522201538}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q1251441', 'wd_label': 'leader', 'description': 'someone with the authority to affect the conduct of others; who have the responsibility of leading'}]","[{'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}, {'wd_qid': 'Q2995644', 'wd_label': 'result', 'description': 'final consequence or product of a sequence of actions or events'}]"
Bazaar covers costume.,implausible,1,"{'sen_id': 22, 'sentence': 'Bazaar covers costume.', 'predicted_mentions': []}","[{'wd_qid': 'Q98929991', 'wd_label': 'place', 'description': 'small area known by a geographical name'}, {'wd_qid': 'Q213441', 'wd_label': 'shop', 'description': 'place where items or services are sold'}, {'wd_qid': 'Q17334923', 'wd_label': 'location', 'description': 'position of something in space'}]","[{'wd_qid': 'Q9053464', 'wd_label': 'costume', 'description': 'wardrobe and dress in general'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]"
Campus persuades scenery.,implausible,0,"{'sen_id': 23, 'sentence': 'Campus persuades scenery.', 'predicted_mentions': [{'sentence_offset': [7, 16], 'trigger_words': 'persuades', 'trigger_confidence': 0.962296724319458, 'event_type': {'xpo_node': 'DWD_Q1231428', 'name': 'persuasion', 'description': 'umbrella term of influence and mode of communication'}, 'event_confidence': 0.995426595211029}]}","[{'wd_qid': 'Q178706', 'wd_label': 'institution', 'description': 'structure or mechanism of social order and cooperation governing the behaviour of a set of individuals within a given community'}, {'wd_qid': 'Q98929991', 'wd_label': 'place', 'description': 'small area known by a geographical name'}, {'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q3914', 'wd_label': 'school', 'description': 'institution for the education of students by teachers'}, {'wd_qid': 'Q43229', 'wd_label': 'organization', 'description': 'social entity established to meet needs or pursue goals'}, {'wd_qid': 'Q16334295', 'wd_label': 'group of humans', 'description': 'any set of human beings'}]","[{'wd_qid': 'Q17334923', 'wd_label': 'location', 'description': 'position of something in space'}, {'wd_qid': 'Q98929991', 'wd_label': 'place', 'description': 'small area known by a geographical name'}, {'wd_qid': 'Q11500', 'wd_label': 'area', 'description': 'quantity that expresses the extent of a two-dimensional surface or shape, or planar lamina, in the plane'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q107425', 'wd_label': 'landscape', 'description': 'visible features of an area of land'}, {'wd_qid': 'Q2249676', 'wd_label': 'environment', 'description': 'surrounding of an organism or population'}]"
